scene_variant,geometry_seed,measurement_seed,block_id,perturbation_type,direction_id,registration_path,original_d50,primary_reason,secondary_reasons,zero_success_rate,zero_solver_convergence_rate,zero_threshold_conflict_rate,reference_not_fixed_point_fraction,zero_association_switch_fraction,noise_free_zero_success_rate,locked_full_noise_zero_success_rate,repeat_cluster_count
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_00,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_01,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_02,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_03,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_04,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_05,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_06,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_07,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_08,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_09,full_reassociation,0.0,MULTIPLE_ATTRACTORS,ZERO_SOLVER_FAILURE;ZERO_ASSOCIATION_SWITCH;REFERENCE_NOT_FIXED_POINT,0.0,0.2,0.2,1.0,1.0,0.0,0.0,2
