scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,full_anchor_pose,frozen_zero_pose,translation_distance_m,rotation_distance_rad,distance_eligible,full_zero_anchor_globally_valid,eligible_for_subsequent_comparison
END_FACE_TRANSITION_ABSENT,1101,2101,0,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r00,"[0.0,0.12955897368498495,-0.00041157972842341737,1.5000655302694792,-5.529048311316948e-05,-5.944425546284257e-07,-6.541309839211771e-07,0.9999999984710906]","[0.0,-0.011741991392569042,-0.0003927592762137395,1.5002001043722488,1.8815846095984367e-05,-1.478348030157277e-07,8.612494321942885e-07,0.9999999998226001]",0.14130103041466716,0.0001482463337757393,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2101,1,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r01,"[0.0,0.022472610232141296,-0.00043880474901063275,1.499870194092246,6.739039513981882e-05,2.1183899430131463e-06,2.104732276083017e-07,0.9999999977270014]","[0.0,-0.010214363979024768,-0.00040437289669944214,1.5001937580505302,1.254599491181864e-05,1.7803528990039587e-06,1.2184870979580296e-06,0.9999999999189719]",0.03268859376401789,0.00010970940894808003,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2101,2,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r02,"[0.0,0.0378691842669744,-0.00033685134441142526,1.5001144560014983,-2.476088242839905e-05,-4.315775603361212e-07,-2.3957666611593854e-06,0.9999999996904865]","[0.0,-0.011753549634065307,-0.0003457822689110163,1.5002139571226836,3.189252644527333e-05,1.4977366907462325e-07,-7.990262244876698e-07,0.9999999994911031]",0.04962283446204908,0.00011335777498136252,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2101,3,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r03,"[0.0,0.051071604333841725,-0.00037531020205056243,1.5000448817756014,-4.542309811141937e-06,-3.3023863399159467e-07,-1.5287511437934994e-06,0.9999999999884608]","[0.0,-0.012255866379590778,-0.00037735212204551325,1.500189583526777,2.244261890962177e-05,-1.2271893384690134e-07,-2.9195403566108686e-07,0.9999999997481144]",0.0633276360661511,5.402810785802058e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2101,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r04,"[0.0,0.04031833748647219,-0.0003484239785715173,1.500104466492009,-1.6839045969311713e-05,-8.282613724395887e-07,-1.2363595490089196e-07,0.9999999998578727]","[0.0,-0.010688566825016977,-0.00036253624306260943,1.500202254000605,3.0226765042705396e-05,-2.1220444051309557e-07,1.2643873215508221e-06,0.9999999995423495]",0.051006999999943715,9.418060737726396e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,0,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r00,"[0.0,0.03985535537087393,-0.0004025975181558963,1.5001189391251184,-2.8790418825563786e-05,-3.695342342036089e-07,-3.796391951001604e-07,0.9999999995854156]","[0.0,-0.011777928555849821,-0.00041223389793647444,1.5002250256103447,2.0740858165455233e-05,1.759237492853491e-07,7.19939643084547e-07,0.9999999997846338]",0.05163339380923777,9.909296642922879e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,1,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r01,"[0.0,0.12988112650528053,-0.00034387772504741265,1.5000884323943668,-2.915137494851497e-05,-3.3112955023285654e-07,-1.1561996008277464e-08,0.9999999995750438]","[0.0,-0.011895271312123413,-0.0003371222633905543,1.5002199798931812,4.5746393976620024e-05,2.8713475300278424e-07,1.2375652845379293e-06,0.9999999989528268]",0.141776459006633,0.00014982147192823758,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,2,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r02,"[0.0,0.12981190577295243,-0.0003750025565253561,1.5000552318133251,-5.7942106304621805e-05,4.3935122383596563e-07,-1.6985166628314319e-06,0.9999999983198171]","[0.0,-0.01270635555012343,-0.0003759145853093698,1.5001984091431477,1.6499653619943396e-05,8.881670956786472e-07,-1.3526975496263958e-07,0.9999999998634773]",0.14251833324569899,0.0001489190491803221,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,3,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r03,"[0.0,0.03904294922716643,-0.00033775182125021666,1.5001666784121046,-1.7188821904626398e-05,-2.340118029936248e-08,-1.495891060069282e-06,0.9999999998511531]","[0.0,-0.011593674970143778,-0.00035619287398301825,1.500267696809978,3.227922133220835e-05,4.01519865638669e-07,-8.086540872585497e-08,0.999999999478942]",0.0506367283193608,9.898020322890928e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r04,"[0.0,0.04771688261116018,-0.00034956589808149326,1.5001205023933764,6.294127873809122e-06,-2.3454070159234082e-07,-1.3440988123475297e-06,0.9999999999792613]","[0.0,-0.012449630296506654,-0.00035867179232220787,1.500244836026034,4.0810436471828824e-05,7.952747183748717e-08,2.162114171051466e-07,0.9999999991672276]",0.060166642063837664,6.910596983883833e-05,false,false,false
