scene_variant,geometry_seed,measurement_seed,block_id,direction_id,raw_maximum_probability_gap,anchor_mismatch_fraction,difference_explained_by_correspondence_switch,difference_explained_by_anchor_mismatch,difference_explained_by_solver_failure,full_final_pose_second_cluster,full_failure_after_amplitude_m,frozen_still_linear_return,full_low_residual_wrong_pose,maximum_repeat_recovery_mismatch_fraction,difference_unexplained,full_reassociation_nonlinear_effect_candidate
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,neg_x,1.0,1.0,true,true,true,true,0.0,true,true,1.0,false,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,pos_x,1.0,1.0,true,true,true,true,0.0,true,true,1.0,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,neg_x,1.0,1.0,true,true,true,true,0.0,true,true,1.0,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,pos_x,1.0,1.0,true,true,true,true,0.0,true,true,1.0,false,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,neg_x,0.2,0.0,true,false,true,true,0.0,true,false,0.2,false,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,pos_x,0.2,0.0,true,false,true,true,0.0,true,false,0.2,false,false
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,neg_x,0.4,0.0,true,false,true,true,0.0,true,false,0.4,false,false
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,pos_x,0.4,0.0,true,false,true,true,0.0,true,false,0.4,false,false
END_FACE_TRANSITION_WEAK,1101,2101,dev::END_FACE_TRANSITION_WEAK::g1101::m2101,neg_x,1.0,0.0,true,false,true,true,0.0,true,true,1.0,false,true
END_FACE_TRANSITION_WEAK,1101,2101,dev::END_FACE_TRANSITION_WEAK::g1101::m2101,pos_x,1.0,0.0,true,false,true,true,0.0,true,true,1.0,false,true
END_FACE_TRANSITION_WEAK,1101,2111,dev::END_FACE_TRANSITION_WEAK::g1101::m2111,neg_x,1.0,0.0,true,false,true,true,0.0,true,true,1.0,false,true
END_FACE_TRANSITION_WEAK,1101,2111,dev::END_FACE_TRANSITION_WEAK::g1101::m2111,pos_x,1.0,0.0,true,false,true,true,0.0,true,true,1.0,false,true
END_FACE_TRANSITION_WEAK,1103,2101,dev::END_FACE_TRANSITION_WEAK::g1103::m2101,neg_x,1.0,0.8,true,true,true,true,0.0,true,false,1.0,false,false
END_FACE_TRANSITION_WEAK,1103,2101,dev::END_FACE_TRANSITION_WEAK::g1103::m2101,pos_x,1.0,0.8,true,true,true,true,0.0,true,false,1.0,false,false
END_FACE_TRANSITION_WEAK,1103,2111,dev::END_FACE_TRANSITION_WEAK::g1103::m2111,neg_x,1.0,0.6,true,true,true,true,0.0,true,false,1.0,false,false
END_FACE_TRANSITION_WEAK,1103,2111,dev::END_FACE_TRANSITION_WEAK::g1103::m2111,pos_x,1.0,0.6,true,true,true,true,0.0,true,false,1.0,false,false
END_FACE_TRANSITION_WEAK,1107,2101,dev::END_FACE_TRANSITION_WEAK::g1107::m2101,neg_x,0.8,0.0,true,false,true,true,0.0,true,false,0.8,false,true
END_FACE_TRANSITION_WEAK,1107,2101,dev::END_FACE_TRANSITION_WEAK::g1107::m2101,pos_x,0.8,0.0,true,false,true,true,0.0,true,false,0.8,false,true
END_FACE_TRANSITION_WEAK,1107,2111,dev::END_FACE_TRANSITION_WEAK::g1107::m2111,neg_x,1.0,0.2,true,false,true,true,0.0,true,false,1.0,false,true
END_FACE_TRANSITION_WEAK,1107,2111,dev::END_FACE_TRANSITION_WEAK::g1107::m2111,pos_x,1.0,0.2,true,false,true,true,0.0,true,false,1.0,false,true
REPEATED_STRUCTURE,1101,2101,dev::REPEATED_STRUCTURE::g1101::m2101,neg_x,1.0,0.0,true,false,true,true,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1101,2101,dev::REPEATED_STRUCTURE::g1101::m2101,pos_x,1.0,0.0,true,false,false,false,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1101,2111,dev::REPEATED_STRUCTURE::g1101::m2111,neg_x,1.0,0.0,true,false,true,false,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1101,2111,dev::REPEATED_STRUCTURE::g1101::m2111,pos_x,1.0,0.0,true,false,true,false,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1103,2101,dev::REPEATED_STRUCTURE::g1103::m2101,neg_x,1.0,0.0,true,false,false,false,0.4,true,false,1.0,false,true
REPEATED_STRUCTURE,1103,2101,dev::REPEATED_STRUCTURE::g1103::m2101,pos_x,1.0,0.0,true,false,false,false,0.4,true,false,1.0,false,true
REPEATED_STRUCTURE,1103,2111,dev::REPEATED_STRUCTURE::g1103::m2111,neg_x,1.0,0.0,true,false,false,false,0.4,true,false,1.0,false,true
REPEATED_STRUCTURE,1103,2111,dev::REPEATED_STRUCTURE::g1103::m2111,pos_x,1.0,0.0,true,false,true,false,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1107,2101,dev::REPEATED_STRUCTURE::g1107::m2101,neg_x,1.0,0.0,true,false,true,false,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1107,2101,dev::REPEATED_STRUCTURE::g1107::m2101,pos_x,1.0,0.0,true,false,true,false,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1107,2111,dev::REPEATED_STRUCTURE::g1107::m2111,neg_x,1.0,0.0,true,false,true,false,0.2,true,false,1.0,false,true
REPEATED_STRUCTURE,1107,2111,dev::REPEATED_STRUCTURE::g1107::m2111,pos_x,1.0,0.0,true,false,true,false,0.2,true,false,1.0,false,true
