scene_variant,method,snapshot_count,zero_success_count,zero_success_rate,median_zero_translation_shift_m,q95_zero_translation_shift_m,median_zero_rotation_shift_rad,q95_zero_rotation_shift_rad,p_zero_at_least_0p95,directionality_interpretation_eligible
END_FACE_TRANSITION_ABSENT,full_reassociation,30,1,0.03333333333333333,0.04008877224814893,0.12985049314280367,0.00010695709901880696,0.00014282211671388665,false,false
END_FACE_TRANSITION_ABSENT,frozen_jacobian,30,13,0.43333333333333335,0.020791891636974806,0.03969582078651347,8.815777454367058e-05,0.00021484321607518033,false,false
END_FACE_TRANSITION_PRESENT,full_reassociation,30,30,1.0,0.004849406061024942,0.013889057940997537,0.00012956437036555,0.00015797208714525313,true,true
END_FACE_TRANSITION_PRESENT,frozen_jacobian,30,30,1.0,0.004115921055182886,0.004646246872967402,0.00016907390075100964,0.000367731991338444,true,true
END_FACE_TRANSITION_WEAK,full_reassociation,30,0,0.0,0.012565297204265406,0.04222315396522891,0.00016103168476775732,0.00044672730794211924,false,false
END_FACE_TRANSITION_WEAK,frozen_jacobian,30,29,0.9666666666666667,0.01384169745318314,0.019618955982056728,0.0002491990274171671,0.0005363642461594959,true,true
GEOMETRY_RICH_ROOM,full_reassociation,30,30,1.0,0.0006081530522325759,0.0007705504921370407,9.288632109443475e-05,0.00010456820507912738,true,true
GEOMETRY_RICH_ROOM,frozen_jacobian,30,30,1.0,0.0006116747808446551,0.0007767500865646322,9.021292869457119e-05,0.00010631275436394264,true,true
LONG_CORRIDOR,full_reassociation,30,3,0.1,0.1196948891770615,0.20012919193772533,0.00010134269784356145,0.0007496943341699294,false,false
LONG_CORRIDOR,frozen_jacobian,30,0,0.0,0.11180117663674727,0.134002342700108,0.00011058409656695606,0.0005832628860379563,false,false
PARALLEL_WALLS,full_reassociation,30,0,0.0,0.06446466219803115,0.17041402936953937,0.0001321658523976872,0.0002926984352168792,false,false
PARALLEL_WALLS,frozen_jacobian,30,10,0.3333333333333333,0.03408442422058572,0.07786441492872631,5.094518609177309e-05,0.00023767388395399107,false,false
REPEATED_STRUCTURE,full_reassociation,30,30,1.0,0.004879382216468385,0.006505947592743564,0.00033990437777481623,0.0004872100323830941,true,true
REPEATED_STRUCTURE,frozen_jacobian,30,30,1.0,0.0031262626800200107,0.005114724223126589,0.00036180952086594287,0.0004576241339176877,true,true
ALL_SCENES,full_reassociation,210,94,0.44761904761904764,0.012267918080019197,0.12944023173670827,0.00011023518777900513,0.00046980331648717477,false,false
ALL_SCENES,frozen_jacobian,210,142,0.6761904761904762,0.006844429664712292,0.11621660448037427,0.00011591530516233726,0.0005363642461594958,false,false
