scene_variant,geometry_seed,measurement_seed,block_id,perturbation_type,direction_id,registration_path,d50_state,d90_state,d50,d90,finite_imputation_used
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_00,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_00,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_01,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_01,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_02,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_02,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_03,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_03,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_04,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_04,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_05,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_05,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_06,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_06,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_07,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_07,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1101,2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,rotation,ico_08,frozen_jacobian,RIGHT_CENSORED,RIGHT_CENSORED,,,false
