gate,condition,pass,evidence,evaluation_mode
Engineering Gate,bag_validation_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,detector_feedback_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,extrinsic_direction_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,fastlio2_crash_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,finite_detector_output_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,frozen_detector_determinism_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,no_reference_dependency_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,point_time_unit_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,python311_full_pytest_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,same_call_mutation_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Engineering Gate,valid_detector_ratio_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Runtime Gate targets,detector_core_mean_target_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Runtime Gate targets,total_added_q95_target_pass,True,unchanged frozen input/result,REEXECUTED_UNCHANGED_FROZEN_EVIDENCE
Scientific Pilot Gate,frozen_structural_and_control_intervals,True,unchanged frozen input/result,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Scientific Pilot Gate,same_input_all_metrics,True,unchanged frozen input/result,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Scientific Pilot Gate,structural_direction_median_pass,False,30.705691451918934,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Scientific Pilot Gate,reliable_better_than_unreliable,False,30.800324987173312 vs 28.979867521025483,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Scientific Pilot Gate,odi_effectiveness_pass,False,semantic_auc=0.0019667719062160345;exact_5s_semantic_rho=-0.1762088640488564,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Scientific Pilot Gate,control_false_trigger_pass,False,ratio=1.0;max_consecutive=139,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Scientific Pilot Gate,no_reference_online,True,unchanged frozen input/result,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Final,MEASUREMENT_REAL_PILOT_PASS,False,engineering AND corrected scientific gates,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Final,SECOND_DATASET_EXPANSION_AUTHORIZED,False,identical to corrected Pilot pass under frozen protocol,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
Final,ODI_ADVANTAGE_ESTABLISHED,False,semantic ODI AUROC strictly exceeds every eligible formal baseline,REEXECUTED_WITH_CORRECTED_EVALUATION_V2
