decision_field,value,status
SCIENTIFIC_AUDIT_COMPLETE,True,FINAL_SCIENTIFIC_AUDIT
PRIMARY_AUDIT_CONCLUSION,PILOT_LABEL_INVALIDATED,FINAL_SCIENTIFIC_AUDIT
PRIMARY_CONCLUSION_CATEGORY,B,FINAL_SCIENTIFIC_AUDIT
METRIC_DIRECTION_BUG_CONFIRMED,True,FINAL_SCIENTIFIC_AUDIT
TIME_ALIGNMENT_BUG_CONFIRMED,False,FINAL_SCIENTIFIC_AUDIT
FRAME_TRANSFORM_BUG_CONFIRMED,False,FINAL_SCIENTIFIC_AUDIT
FUTURE_ERROR_IMPLEMENTATION_BUG_CONFIRMED,True,FINAL_SCIENTIFIC_AUDIT
TRIGGER_IMPLEMENTATION_BUG_CONFIRMED,False,FINAL_SCIENTIFIC_AUDIT
ODI_EXACTLY_EQUIVALENT_TO_SPECTRAL_ENTROPY,True,FINAL_SCIENTIFIC_AUDIT
ODI_MONOTONICALLY_EQUIVALENT_TO_SPECTRAL_ENTROPY,True,FINAL_SCIENTIFIC_AUDIT
ODI_INDEPENDENT_RANKING_INFORMATION_CONFIRMED,False,FINAL_SCIENTIFIC_AUDIT
PILOT_LABEL_INVALIDATED,True,FINAL_SCIENTIFIC_AUDIT
REFERENCE_INSUFFICIENT,True,FINAL_SCIENTIFIC_AUDIT
RELIABILITY_VALIDATION_SUFFICIENT,False,FINAL_SCIENTIFIC_AUDIT
REAL_DOMAIN_THRESHOLD_TRANSFER_FAILED,True,FINAL_SCIENTIFIC_AUDIT
EVALUATION_BUG_CONFIRMED,False,FINAL_SCIENTIFIC_AUDIT
METHOD_NEGATIVE_CONFIRMED,False,FINAL_SCIENTIFIC_AUDIT
REPLACEMENT_PILOT_AUTHORIZED,True,FINAL_SCIENTIFIC_AUDIT
SECOND_DATASET_EXPANSION_AUTHORIZED,False,FINAL_SCIENTIFIC_AUDIT
ODI_MEASUREMENT_MAINLINE_AUTHORIZED,False,FINAL_SCIENTIFIC_AUDIT
MEASUREMENT_PLAN_STATUS,NEW_PREREGISTERED_REPLACEMENT_PILOT_REQUIRED,FINAL_SCIENTIFIC_AUDIT
ORIGINAL_MEASUREMENT_REAL_PILOT_PASS,False,FINAL_SCIENTIFIC_AUDIT
ORIGINAL_PILOT_RESULT_REMAINS_FAIL,True,FINAL_SCIENTIFIC_AUDIT
CORRECTED_EVALUATION_CHANGES_FORMAL_CONCLUSION,False,FINAL_SCIENTIFIC_AUDIT
