interval_id,interval_label,measure,availability,value,unit,evidence_source,interpretation
structural_candidate_01,structural_degeneracy_candidate,accepted_correspondence_count_median,AVAILABLE,612.0,count,runtime_audit_v2.bin,active FAST-LIO accepted plane correspondences
structural_candidate_01,structural_degeneracy_candidate,accepted_correspondence_count_q05_q95,AVAILABLE,248.9;768.1,count,runtime_audit_v2.bin,descriptive interval spread
structural_candidate_01,structural_degeneracy_candidate,downsampled_scan_point_count_median,AVAILABLE,1042.0,count,runtime_audit_v2.bin,points presented to scan-to-map matching
structural_candidate_01,structural_degeneracy_candidate,downsampled_scan_point_count_q05_q95,AVAILABLE,520.3;1113.5,count,runtime_audit_v2.bin,descriptive interval spread
structural_candidate_01,structural_degeneracy_candidate,processed_lidar_point_count_median,AVAILABLE,3953.0,count,runtime_audit_v2.bin,post-preprocess scan points
structural_candidate_01,structural_degeneracy_candidate,processed_lidar_point_count_q05_q95,AVAILABLE,3613.4;4156,count,runtime_audit_v2.bin,descriptive interval spread
structural_candidate_01,structural_degeneracy_candidate,local_map_point_count_median,AVAILABLE,3217.0,count,runtime_audit_v2.bin,map support size; spatial extent was not retained
structural_candidate_01,structural_degeneracy_candidate,local_map_point_count_q05_q95,AVAILABLE,1738.1;6563.9,count,runtime_audit_v2.bin,descriptive interval spread
structural_candidate_01,structural_degeneracy_candidate,raw_scan_xy_anisotropy_median,AVAILABLE,130.4279642044035,ratio,raw_scene_descriptors.csv,detector-free selection proxy only
structural_candidate_01,structural_degeneracy_candidate,raw_scan_azimuth_coverage_median,AVAILABLE,0.4444444444444444,fraction,raw_scene_descriptors.csv,raw scan angular support
structural_candidate_01,structural_degeneracy_candidate,raw_scan_range_median,AVAILABLE,7.5953077999138126,m,raw_scene_descriptors.csv,raw scan range descriptor
structural_candidate_01,structural_degeneracy_candidate,raw_scan_range_q95_median,AVAILABLE,17.60706786818322,m,raw_scene_descriptors.csv,available scan-extent proxy
structural_candidate_01,structural_degeneracy_candidate,vehicle_speed_median,AVAILABLE,0.9458683578697471,m/s,runtime_audit_v2.bin,posterior finite-difference speed
structural_candidate_01,structural_degeneracy_candidate,roll_range,AVAILABLE,5.145100689286567,degree,runtime_audit_v2.bin,unwrapped posterior orientation range
structural_candidate_01,structural_degeneracy_candidate,pitch_range,AVAILABLE,3.5890899642858773,degree,runtime_audit_v2.bin,unwrapped posterior orientation range
structural_candidate_01,structural_degeneracy_candidate,yaw_range,AVAILABLE,56.620538596367496,degree,runtime_audit_v2.bin,unwrapped posterior orientation range
structural_candidate_01,structural_degeneracy_candidate,rtk_quality_good_ratio,AVAILABLE,1.0,fraction,navsat_fix.csv,NavSatStatus >= GBAS_FIX
structural_candidate_01,structural_degeneracy_candidate,scan_to_map_plane_normal_distribution,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,observation binary and individual correspondences were not retained
structural_candidate_01,structural_degeneracy_candidate,scan_to_map_normal_direction_covariance,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,observation binary and plane normals were not retained
structural_candidate_01,structural_degeneracy_candidate,local_map_spatial_extent,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,only local-map point count/checksum was retained
structural_candidate_01,structural_degeneracy_candidate,end_face_constraint_count,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,correspondence geometry classification was not retained
structural_candidate_01,structural_degeneracy_candidate,floor_ceiling_wall_support_ratio,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,correspondence geometry classification was not retained
structural_candidate_01,structural_degeneracy_candidate,correspondence_residual_distribution,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,"only residual count/checksum, not residual values, was retained"
geometry_rich_control_01,geometry_rich_control,accepted_correspondence_count_median,AVAILABLE,928.0,count,runtime_audit_v2.bin,active FAST-LIO accepted plane correspondences
geometry_rich_control_01,geometry_rich_control,accepted_correspondence_count_q05_q95,AVAILABLE,777.9;1071.2,count,runtime_audit_v2.bin,descriptive interval spread
geometry_rich_control_01,geometry_rich_control,downsampled_scan_point_count_median,AVAILABLE,1193.0,count,runtime_audit_v2.bin,points presented to scan-to-map matching
geometry_rich_control_01,geometry_rich_control,downsampled_scan_point_count_q05_q95,AVAILABLE,1069.9;1291.2,count,runtime_audit_v2.bin,descriptive interval spread
geometry_rich_control_01,geometry_rich_control,processed_lidar_point_count_median,AVAILABLE,1793.0,count,runtime_audit_v2.bin,post-preprocess scan points
geometry_rich_control_01,geometry_rich_control,processed_lidar_point_count_q05_q95,AVAILABLE,1514.9;1877.2,count,runtime_audit_v2.bin,descriptive interval spread
geometry_rich_control_01,geometry_rich_control,local_map_point_count_median,AVAILABLE,73712.0,count,runtime_audit_v2.bin,map support size; spatial extent was not retained
geometry_rich_control_01,geometry_rich_control,local_map_point_count_q05_q95,AVAILABLE,68827.2;79972,count,runtime_audit_v2.bin,descriptive interval spread
geometry_rich_control_01,geometry_rich_control,raw_scan_xy_anisotropy_median,AVAILABLE,9.60130518111196,ratio,raw_scene_descriptors.csv,detector-free selection proxy only
geometry_rich_control_01,geometry_rich_control,raw_scan_azimuth_coverage_median,AVAILABLE,0.25,fraction,raw_scene_descriptors.csv,raw scan angular support
geometry_rich_control_01,geometry_rich_control,raw_scan_range_median,AVAILABLE,26.48782804636446,m,raw_scene_descriptors.csv,raw scan range descriptor
geometry_rich_control_01,geometry_rich_control,raw_scan_range_q95_median,AVAILABLE,41.58131159827711,m,raw_scene_descriptors.csv,available scan-extent proxy
geometry_rich_control_01,geometry_rich_control,vehicle_speed_median,AVAILABLE,2.030359077394518,m/s,runtime_audit_v2.bin,posterior finite-difference speed
geometry_rich_control_01,geometry_rich_control,roll_range,AVAILABLE,1.9679661664871075,degree,runtime_audit_v2.bin,unwrapped posterior orientation range
geometry_rich_control_01,geometry_rich_control,pitch_range,AVAILABLE,3.6445470337885766,degree,runtime_audit_v2.bin,unwrapped posterior orientation range
geometry_rich_control_01,geometry_rich_control,yaw_range,AVAILABLE,7.422708532867134,degree,runtime_audit_v2.bin,unwrapped posterior orientation range
geometry_rich_control_01,geometry_rich_control,rtk_quality_good_ratio,AVAILABLE,1.0,fraction,navsat_fix.csv,NavSatStatus >= GBAS_FIX
geometry_rich_control_01,geometry_rich_control,scan_to_map_plane_normal_distribution,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,observation binary and individual correspondences were not retained
geometry_rich_control_01,geometry_rich_control,scan_to_map_normal_direction_covariance,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,observation binary and plane normals were not retained
geometry_rich_control_01,geometry_rich_control,local_map_spatial_extent,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,only local-map point count/checksum was retained
geometry_rich_control_01,geometry_rich_control,end_face_constraint_count,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,correspondence geometry classification was not retained
geometry_rich_control_01,geometry_rich_control,floor_ceiling_wall_support_ratio,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,correspondence geometry classification was not retained
geometry_rich_control_01,geometry_rich_control,correspondence_residual_distribution,UNAVAILABLE_NOT_RETAINED,,N/A,measurement retention contract,"only residual count/checksum, not residual values, was retained"
