lag_seconds,formal_lag,lag_selected_from_statistics,overlap_count,trajectory_position_consistency_rmse_m,future_growth_count,future_growth_median_m,actual_horizon_median_seconds,alignment_rotation_det,alignment_translation_norm_m,odi_risk_spearman,ais_risk_spearman,lambda_min_risk_spearman,condition_risk_spearman,lambda_ratio_risk_spearman,entropy_risk_spearman,effective_rank_risk_spearman
-2.0,False,False,1701,1.7090466086572662,278,-0.4441889937879965,5.053862571716309,1.0000000000000013,1.1583314641132934,-0.35352279490021576,-0.32608351422972487,-0.3414952444705468,-0.3526129370173361,-0.3526129370173361,-0.35352279490021576,-0.35352279490021576
-1.95,False,False,1702,1.6740771041634066,278,-0.431299301967214,5.053844928741455,1.000000000000002,1.1266197855903786,-0.35305809154935275,-0.32602542631086695,-0.3415242884299757,-0.35241074637669617,-0.35241074637669617,-0.35305809154935275,-0.35305809154935275
-1.9,False,False,1702,1.6390947198100987,278,-0.42029683248822836,5.053844928741455,1.0000000000000009,1.0965254914164453,-0.3530340744290557,-0.32608128007899956,-0.34200630644895985,-0.3527268787043266,-0.3527268787043266,-0.3530340744290557,-0.3530340744290557
-1.85,False,False,1703,1.6040017344517588,278,-0.40748735478913245,5.053827285766602,1.0000000000000002,1.065741208148632,-0.35179132808810587,-0.3248698118482039,-0.3410333338080903,-0.3515656788648503,-0.3515656788648503,-0.35179132808810587,-0.35179132808810587
-1.8,False,False,1703,1.5688880594184087,278,-0.3925916924056229,5.053827285766602,1.0000000000000016,1.0366300988846915,-0.35163382046197206,-0.3248413264264563,-0.3411684999269711,-0.3515947228242792,-0.3515947228242792,-0.35163382046197206,-0.35163382046197206
-1.75,False,False,1704,1.5336720667361012,278,-0.3683378579169404,5.053804278373718,0.999999999999999,1.0069411338072263,-0.3514701689213436,-0.32504239999173357,-0.3413952662255894,-0.3515746154677516,-0.3515746154677516,-0.3514701689213436,-0.3514701689213436
-1.7,False,False,1704,1.4984448469513931,278,-0.3453821802947012,5.053804278373718,1.0000000000000013,0.9789743669802821,-0.3510160777864258,-0.32480502147717016,-0.3414729029632937,-0.3514288371329255,-0.3514288371329255,-0.3510160777864258,-0.3510160777864258
-1.65,False,False,1705,1.4631231797201953,278,-0.3280868617997129,5.053781270980835,0.9999999999999994,0.9505492578911665,-0.3503921911963849,-0.32438164991472523,-0.341276297699467,-0.35116409027197715,-0.35116409027197715,-0.3503921911963849,-0.3503921911963849
-1.6,False,False,1705,1.4277821550408707,278,-0.31412077848889136,5.053781270980835,0.9999999999999992,0.9239506419540563,-0.3505379695312109,-0.3245050867422982,-0.34147681272706304,-0.35136292968652905,-0.35136292968652905,-0.3505379695312109,-0.3505379695312109
-1.55,False,False,1706,1.3923486933978577,278,-0.3037662134321495,5.053747296333313,1.0000000000000009,0.8970046354174674,-0.35011571504412864,-0.32434757911616435,-0.3416834716691535,-0.3514087297763978,-0.3514087297763978,-0.35011571504412864,-0.35011571504412864
-1.5,False,False,1706,1.3569083920307756,278,-0.2930089303261607,5.053747296333313,0.9999999999999994,0.8720344481939809,-0.34857526811903217,-0.3230366911780928,-0.3407797577007684,-0.3504480449645175,-0.3504480449645175,-0.34857526811903217,-0.34857526811903217
