schema_version,statistic_name,statistic_role,sweep,matched_pair_count,positive_frame_count,negative_frame_count,unmatched_positive_count,duplicate_positive_key_count,duplicate_clean_key_count,excluded_unmatched_clean_count,auroc,bootstrap_median,ci95_lower,ci95_upper,valid_bootstrap_count,invalid_bootstrap_count,analysis_population,matching_key,correction_version
stage2_failure_day13_analysis_correction_v2,huber_cusum_max,primary,geometry,1600,1600,1600,0,0,0,1200,0.59932578125,0.6018285156250001,0.5514198632812499,0.6363024804687499,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_cusum_max,primary,observation,1600,1600,1600,0,0,0,1200,0.686236328125,0.6869234375,0.6432498046874999,0.7287901953125,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_weak_innovation_z_huber,secondary_descriptive,geometry,1600,1600,1600,0,0,0,1200,0.524733984375,0.5248412109375,0.5175878222656249,0.5309512792968749,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_weak_innovation_z_huber,secondary_descriptive,observation,1600,1600,1600,0,0,0,1200,0.528248828125,0.52818125,0.520049775390625,0.536242705078125,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_window_mean,secondary_descriptive,geometry,1600,1600,1600,0,0,0,1200,0.55706328125,0.5565404296875001,0.5402021484375,0.576913408203125,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_window_mean,secondary_descriptive,observation,1600,1600,1600,0,0,0,1200,0.584058203125,0.584103125,0.568505498046875,0.600062021484375,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_window_energy,secondary_descriptive,geometry,1600,1600,1600,0,0,0,1200,0.569816015625,0.5704236328125001,0.5466291308593749,0.5904266015624999,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_window_energy,secondary_descriptive,observation,1600,1600,1600,0,0,0,1200,0.5961109375,0.595836328125,0.5852343457031249,0.60892345703125,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_dominant_sign_ratio,secondary_descriptive,geometry,1600,1600,1600,0,0,0,1200,0.5106171875,0.51036640625,0.5005346240234375,0.5215205419921874,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_dominant_sign_ratio,secondary_descriptive,observation,1600,1600,1600,0,0,0,1200,0.514223828125,0.514434375,0.499973662109375,0.5273785546875001,5000,0,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
