schema_version,statistic_name,statistic_role,sweep,matched_pair_count,positive_frame_count,negative_frame_count,unmatched_positive_count,duplicate_positive_key_count,duplicate_clean_key_count,invalid_pair_count,unpaired_selected_row_count,excluded_unmatched_clean_count,analysis_population,matching_key,correction_version
stage2_failure_day13_analysis_correction_v2,huber_cusum_max,primary,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_cusum_max,primary,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_weak_innovation_z_huber,secondary_descriptive,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_weak_innovation_z_huber,secondary_descriptive,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_window_mean,secondary_descriptive,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_window_mean,secondary_descriptive,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_window_energy,secondary_descriptive,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_window_energy,secondary_descriptive,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_dominant_sign_ratio,secondary_descriptive,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_dominant_sign_ratio,secondary_descriptive,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_current_same_sign_run_length,secondary_descriptive,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,huber_current_same_sign_run_length,secondary_descriptive,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_lag1_autocorrelation,secondary_descriptive,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_lag1_autocorrelation,secondary_descriptive,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_skewness,secondary_descriptive,geometry,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
stage2_failure_day13_analysis_correction_v2,abs_huber_skewness,secondary_descriptive,observation,1600,1600,1600,0,0,0,0,0,1200,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,"sweep,level,geometry_seed,sensor_seed,process_seed,method,frame_index;timestamp_equal",v2
