role,seed_type,index,nonce,label,seed
calibration,geometry,0,0,Degen-LIO-Day13-v1|role=calibration|type=geometry|index=0|nonce=0,2099270786
calibration,geometry,1,0,Degen-LIO-Day13-v1|role=calibration|type=geometry|index=1|nonce=0,148529353
calibration,geometry,2,0,Degen-LIO-Day13-v1|role=calibration|type=geometry|index=2|nonce=0,1697711877
calibration,geometry,3,0,Degen-LIO-Day13-v1|role=calibration|type=geometry|index=3|nonce=0,1765595935
calibration,geometry,4,0,Degen-LIO-Day13-v1|role=calibration|type=geometry|index=4|nonce=0,1797477789
calibration,sensor,0,0,Degen-LIO-Day13-v1|role=calibration|type=sensor|index=0|nonce=0,442833702
calibration,sensor,1,0,Degen-LIO-Day13-v1|role=calibration|type=sensor|index=1|nonce=0,513591578
calibration,process,0,0,Degen-LIO-Day13-v1|role=calibration|type=process|index=0|nonce=0,1592645163
calibration,process,1,0,Degen-LIO-Day13-v1|role=calibration|type=process|index=1|nonce=0,631534438
evaluation,geometry,0,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=0|nonce=0,1573279497
evaluation,geometry,1,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=1|nonce=0,1608298725
evaluation,geometry,2,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=2|nonce=0,158012055
evaluation,geometry,3,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=3|nonce=0,128077403
evaluation,geometry,4,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=4|nonce=0,357735099
evaluation,geometry,5,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=5|nonce=0,417860995
evaluation,geometry,6,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=6|nonce=0,1610822625
evaluation,geometry,7,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=7|nonce=0,568461774
evaluation,geometry,8,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=8|nonce=0,1803049395
evaluation,geometry,9,0,Degen-LIO-Day13-v1|role=evaluation|type=geometry|index=9|nonce=0,1933664818
evaluation,sensor,0,0,Degen-LIO-Day13-v1|role=evaluation|type=sensor|index=0|nonce=0,658360556
evaluation,sensor,1,0,Degen-LIO-Day13-v1|role=evaluation|type=sensor|index=1|nonce=0,2087974662
evaluation,process,0,0,Degen-LIO-Day13-v1|role=evaluation|type=process|index=0|nonce=0,788390312
evaluation,process,1,0,Degen-LIO-Day13-v1|role=evaluation|type=process|index=1|nonce=0,1671729869
