evidence_id,stage_day,description,path,sha256,schema_version,source_commit,status,used_by_gate
day8_logging,8,per-frame logging Gate,results/stage2_failure_analysis/day8_quick/stage2_failure_day8_quick_v2/run_manifest.json,3a3dd8c9aecb5297ad1413dbdab622df79b72ed65968cc4fb193cb7b6d74bfc4,NOT_EMBEDDED,8e9772118bc4e4254ce0a0dc4c072a715c7b15be,PASS,NO_GT_GATE
day9_window,9,causal window-statistics Gate,results/stage2_failure_analysis/day9_quick/stage2_failure_day9_quick_v2/run_manifest.json,8d2b26d0b6c2ea6a27176e47b89d8e1135e2a6a0cf81e81b298ee869beaaad9c,stage2_failure_window_v1,ba558442ffa8aa385623d44dc5459ccb90489ee6,PASS,CAUSAL_CONSISTENCY_GATE
day10_no_gt,10,no-GT audit manifest,results/stage2_failure_analysis/day10_quick/stage2_failure_day10_quick_v2/run_manifest.json,e4aa8a324a71a7595876b20e9d952244f87f70cc39f1a7388a4c29f182121dad,stage2_failure_no_gt_audit_v1,04be262f91ffd67addcd2f24c1dd9a6904d5b2ef,PASS,NO_GT_GATE
day10_static,10,online static no-GT dependency audit,results/stage2_failure_analysis/day10_quick/stage2_failure_day10_quick_v2/static_dependency_audit.json,324c74c68a635edf93c6c368fa74e6dea86ecb61d364afbaed71cf5c9839c50c,stage2_failure_no_gt_audit_v1,NOT_EMBEDDED,PASS,NO_GT_GATE
day10_online_equivalence,10,GT-removal trajectory equivalence,results/stage2_failure_analysis/day10_quick/stage2_failure_day10_quick_v2/online_equivalence_audit.csv,a4e8b55cdd8b427a761862ae6e499a4643685225729768ff77c92cf3b5fe6b6e,NOT_EMBEDDED,04be262f91ffd67addcd2f24c1dd9a6904d5b2ef,PASS,NO_GT_GATE
day10_window_equivalence,10,GT-removal detector/statistic equivalence,results/stage2_failure_analysis/day10_quick/stage2_failure_day10_quick_v2/window_equivalence_audit.csv,c426ffdaa8c646a1301562f2be74f7bc28dc198b3acd4e397dc43b06037b46d1,NOT_EMBEDDED,04be262f91ffd67addcd2f24c1dd9a6904d5b2ef,PASS,NO_GT_GATE
day11_replay,11,representative locked diagnostic replay,results/stage2_failure_analysis/day11b_replay/stage2_failure_day11b_replay_v2/run_manifest.json,79bd06e942a0de2837482bfb099632a0e3ebdd7a84f0a1aae3297b04f0aafc93,stage2_failure_day11b_run_v2,480960def270d2739a21bfc4967990318d2ed3c3,PASS,CAUSAL_CONSISTENCY_GATE;NO_GT_GATE
day11_no_gt,11,replay no-GT audit,results/stage2_failure_analysis/day11b_replay/stage2_failure_day11b_replay_v2/no_gt_audit.json,00ee4857d5f2c4927bd3fc6253844e757143b977262e31e4661250ed4a87c36b,stage2_failure_day11b_no_gt_audit_v1,NOT_EMBEDDED,PASS,NO_GT_GATE
day12_diagnostics,12,diagnostic figure/input-lock manifest,results/stage2_failure_analysis/day12_figures/stage2_failure_day12_figures_v3/run_manifest.json,3089c7c288f5c4984033bd5117eaa36a5d2b28172f1bc353d15cae7b6d245288,stage2_failure_day12_figures_v2,4e79ef2fe5deecac095cc2ade01b6c239b12a453,PASS,CAUSAL_CONSISTENCY_GATE
day13_v1_geometry,13,locked per-geometry primary-score effects,results/stage2_failure_analysis/day13_new_seed/stage2_failure_day13_new_seed_v1/evaluation/geometry_effects.csv,4f2ae13564f44f1d0549f5785548caf0c36f83eb62a1dfb47677fbdbfd6de252,NOT_EMBEDDED,11037cc18f1e7e3d36fa492b78e1f0778e3e4a9f,VALID,CROSS_GEOMETRY_GATE
day13_v1_causal,13,paired harmful-update causal evidence,results/stage2_failure_analysis/day13_new_seed/stage2_failure_day13_new_seed_v1/evaluation/causal_consistency.csv,281d2861e64e601fb6dac4e0de9083a5342ced93cbc289314a7d619c7231d949,NOT_EMBEDDED,11037cc18f1e7e3d36fa492b78e1f0778e3e4a9f,VALID,CAUSAL_CONSISTENCY_GATE
day13_v1_no_gt,13,evaluation no-GT audit,results/stage2_failure_analysis/day13_new_seed/stage2_failure_day13_new_seed_v1/evaluation/no_gt_audit.json,5aadad8d1695a26a566c2443c20f5b1c38d34ae3b3cd6354b00cda8b3080af18,stage2_failure_day13_no_gt_audit_v1,NOT_EMBEDDED,PASS,NO_GT_GATE
day13_v2_manifest,13V2,analysis-correction manifest,artifacts/current/stage2_day13_analysis_correction_v2/analysis_correction_manifest.json,e8f96a1355d60fd0cf2cae36b0521437b479a8e95a73873907e023c15617f66f,stage2_failure_day13_analysis_correction_v2,2301e22f81d5108484808777cea6f33ccdcd36ab,PASS,ALL
day13_v2_auroc,13V2,corrected matched AUROC,artifacts/current/stage2_day13_analysis_correction_v2/auroc_summary_v2.csv,aefeee6487738110fe18d998e458233a7099288f4536f7b73614d71b4ee9352b,NOT_EMBEDDED,2301e22f81d5108484808777cea6f33ccdcd36ab,VALID,SEPARABILITY_GATE
day13_v2_operating,13V2,locked-threshold operating points,artifacts/current/stage2_day13_analysis_correction_v2/locked_threshold_operating_points_v2.csv,31371fdfdebc72d8becd02d7e1f4b6f52df0ec80d000026a61675a22ec6aa7bf,NOT_EMBEDDED,2301e22f81d5108484808777cea6f33ccdcd36ab,VALID,SEPARABILITY_GATE
day13_v2_fpr,13V2,population-separated FPR,artifacts/current/stage2_day13_analysis_correction_v2/fpr_breakdown_v2.csv,5386ff8b7f520355c57a3f70c9497146b1c75ae2db6af2e4fdbe9ec8b30238c5,NOT_EMBEDDED,2301e22f81d5108484808777cea6f33ccdcd36ab,VALID,SEPARABILITY_GATE
day13_v2_gross,13V2,gross Huber handling by level,artifacts/current/stage2_day13_analysis_correction_v2/gross_control_interpretation_v2.csv,83cc950c996821c64fc69a7556d2f547cb720c81f05058935238c1b195b4a02c,NOT_EMBEDDED,2301e22f81d5108484808777cea6f33ccdcd36ab,VALID,CAUSAL_CONSISTENCY_GATE
day13_v2_matching,13V2,one-to-one population audit,artifacts/current/stage2_day13_analysis_correction_v2/matched_population_audit.csv,2aacfa2852a78035760b7fbe3444d8ed35a03f9ce8b1fb824eee30f6d7984bcf,NOT_EMBEDDED,2301e22f81d5108484808777cea6f33ccdcd36ab,PASS,SEPARABILITY_GATE
stage2b_no_go,2B,column-scaling historical NO-GO,artifacts/history/stage2b_column_scaling_no_go,12edea95c9f0af57da5de0f9113ac4f4552b8a2117028f2cf44047731a71d39f,NOT_EMBEDDED,01cc1ec706cbb7a50193889871a81d6fcd3b0ce9,SELECTIVE_UPDATE_FAIL,TRANSITION
stage2c_no_go,2C,projected-gain historical NO-GO,artifacts/current/weak_update_stage2c,6d1652def47b5dfe5d9ae9d9b1c9eeb21d700044821a53094e02127b3f491dd3,NOT_EMBEDDED,e6b0eb4f697c57df9c2b5808ba03e6b605e43564,PROJECTED_GAIN_UPDATE_FAIL,TRANSITION
