metric,sweep,population,observed,ci95_lower,ci95_upper,threshold,target_met,source_path,source_sha256
primary_auroc,geometry,matched_clean_vs_coherent_active,0.59932578125,0.5514198632812499,0.6363024804687499,0.8,False,artifacts/current/stage2_day13_analysis_correction_v2/auroc_summary_v2.csv,aefeee6487738110fe18d998e458233a7099288f4536f7b73614d71b4ee9352b
locked_threshold_tpr,geometry,coherent_active,0.14625,,,descriptive,descriptive,artifacts/current/stage2_day13_analysis_correction_v2/locked_threshold_operating_points_v2.csv,31371fdfdebc72d8becd02d7e1f4b6f52df0ec80d000026a61675a22ec6aa7bf
matched_clean_fpr,geometry,matched_clean,0.091875,,,0.1,True,artifacts/current/stage2_day13_analysis_correction_v2/locked_threshold_operating_points_v2.csv,31371fdfdebc72d8becd02d7e1f4b6f52df0ec80d000026a61675a22ec6aa7bf
primary_auroc,observation,matched_clean_vs_coherent_active,0.686236328125,0.6432498046874999,0.7287901953125,0.8,False,artifacts/current/stage2_day13_analysis_correction_v2/auroc_summary_v2.csv,aefeee6487738110fe18d998e458233a7099288f4536f7b73614d71b4ee9352b
locked_threshold_tpr,observation,coherent_active,0.223125,,,descriptive,descriptive,artifacts/current/stage2_day13_analysis_correction_v2/locked_threshold_operating_points_v2.csv,31371fdfdebc72d8becd02d7e1f4b6f52df0ec80d000026a61675a22ec6aa7bf
matched_clean_fpr,observation,matched_clean,0.07875,,,0.1,True,artifacts/current/stage2_day13_analysis_correction_v2/locked_threshold_operating_points_v2.csv,31371fdfdebc72d8becd02d7e1f4b6f52df0ec80d000026a61675a22ec6aa7bf
evaluation_fpr,all,clean_all,0.085,,,0.1,True,artifacts/current/stage2_day13_analysis_correction_v2/fpr_breakdown_v2.csv,5386ff8b7f520355c57a3f70c9497146b1c75ae2db6af2e4fdbe9ec8b30238c5
evaluation_fpr,all,weak_clean,0.10017857142857142,,,0.1,False,artifacts/current/stage2_day13_analysis_correction_v2/fpr_breakdown_v2.csv,5386ff8b7f520355c57a3f70c9497146b1c75ae2db6af2e4fdbe9ec8b30238c5
evaluation_fpr,all,open_control,0.024285714285714285,,,0.1,True,artifacts/current/stage2_day13_analysis_correction_v2/fpr_breakdown_v2.csv,5386ff8b7f520355c57a3f70c9497146b1c75ae2db6af2e4fdbe9ec8b30238c5
same_direction_geometry_ratio,geometry,independent_geometry,0.9,,,0.8,True,results/stage2_failure_analysis/day13_new_seed/stage2_failure_day13_new_seed_v1/evaluation/geometry_effects.csv,4f2ae13564f44f1d0549f5785548caf0c36f83eb62a1dfb47677fbdbfd6de252
