gate,status
ENGINEERING,ENGINEERING_PASS
FORMULATION,FORMULATION_PASS
STRESS_MECHANISM,STRESS_MECHANISM_PASS
DEVELOPMENT,DEVELOPMENT_PASS
GEOMETRY_COHERENT_STRESS,GEOMETRY_COHERENT_STRESS_FAIL
OBSERVATION_COHERENT_STRESS,OBSERVATION_COHERENT_STRESS_FAIL
CLEAN_NONINFERIORITY,CLEAN_NONINFERIORITY_PASS
OPEN_CONTROL_SAFETY,OPEN_CONTROL_SAFETY_PASS
PROJECTED_GAIN_UPDATE,PROJECTED_GAIN_UPDATE_FAIL
PROJECTED_GAIN_UPDATE_PASS,False
FAST_LIO2_INTEGRATION_AUTHORIZED,False
RISK_WARNING_AUTHORIZED,False
