sweep,level,stress,geometry_seed,sensor_seed,configured_burst_length_frames,contaminated_measurement_count,clean_unchanged,open_control_contamination_zero,axial_only,burst_duration_valid,variance_unchanged,invariant_observations_unchanged,locked_anchor_delta,shared_burst_start_frame,shared_burst_sign,shared_sign_valid,nominal_measurement_sigma_m,injected_slip_distance_m,injected_slip_sigma,slip_sigma_valid,subhuber_valid,selected_axial_patch_ids,contaminated_measurement_ratio,stress_mechanism_valid
open_control,OC,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4003,99,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4003,111,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
geometry,L1,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L1,coherent_subhuber_slip,4003,99,20,1920,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_06|axial_patch_12|axial_patch_08|axial_patch_10|axial_patch_04|axial_patch_02|axial_patch_07|axial_patch_11|axial_patch_15|axial_patch_05|axial_patch_03,0.1568627450980392,True
geometry,L1,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L1,coherent_subhuber_slip,4003,111,20,1920,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_13|axial_patch_10|axial_patch_05|axial_patch_06|axial_patch_04|axial_patch_07|axial_patch_15|axial_patch_12|axial_patch_08|axial_patch_11|axial_patch_02,0.1568627450980392,True
geometry,L2,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L2,coherent_subhuber_slip,4003,99,20,1120,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_08|axial_patch_04|axial_patch_02|axial_patch_07|axial_patch_05|axial_patch_03,0.10526315789473684,True
geometry,L2,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L2,coherent_subhuber_slip,4003,111,20,1120,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_13|axial_patch_05|axial_patch_04|axial_patch_07|axial_patch_08|axial_patch_02,0.10526315789473684,True
geometry,L3,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L3,coherent_subhuber_slip,4003,99,20,480,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_08|axial_patch_03,0.05128205128205128,True
geometry,L3,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L3,coherent_subhuber_slip,4003,111,20,480,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_13|axial_patch_08,0.05128205128205128,True
geometry,L4,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L4,coherent_subhuber_slip,4003,99,20,160,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13,0.01834862385321101,True
geometry,L4,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L4,coherent_subhuber_slip,4003,111,20,160,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13,0.01834862385321101,True
observation,O1,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O1,coherent_subhuber_slip,4003,99,20,3037,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_06|axial_patch_01|axial_patch_12|axial_patch_08|axial_patch_10|axial_patch_04|axial_patch_02|axial_patch_00|axial_patch_07|axial_patch_11|axial_patch_09|axial_patch_14|axial_patch_15|axial_patch_05|axial_patch_03,0.39544270833333334,True
observation,O1,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O1,coherent_subhuber_slip,4003,111,20,3080,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_13|axial_patch_01|axial_patch_14|axial_patch_10|axial_patch_09|axial_patch_05|axial_patch_06|axial_patch_04|axial_patch_07|axial_patch_15|axial_patch_12|axial_patch_08|axial_patch_11|axial_patch_00|axial_patch_02,0.4010416666666667,True
observation,O2,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O2,coherent_subhuber_slip,4003,99,20,2320,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_06|axial_patch_01|axial_patch_12|axial_patch_08|axial_patch_10|axial_patch_04|axial_patch_02|axial_patch_00|axial_patch_07|axial_patch_11|axial_patch_09|axial_patch_14|axial_patch_15|axial_patch_05|axial_patch_03,0.3020833333333333,True
observation,O2,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
