gate,value
PHASE_A_V1_2_PROTOCOL_LOCK_PASS,True
SEED_CONTINUATION_AFTER_PRE_BACKEND_ABORT_JUSTIFIED,True
ALL_210_STAGE0_SNAPSHOTS_COMPLETE,True
SNAPSHOT_PROVENANCE_LINEAGE_PASS,True
FLOAT32_RECONSTRUCTION_CLOSURE_PASS,True
CANONICAL_INPUT_CACHE_PASS,True
IDEAL_MATCHED_SNAPSHOT_DIVERSITY_PASS,True
STAGE0_ANALYSIS_VERIFIER_MATCH,True
STAGE0_ARTIFACT_VERIFICATION_PASS,True
planned_snapshot_count,210
actual_complete_snapshot_count,210
missing_snapshot_count,0
extra_snapshot_count,0
duplicate_snapshot_count,0
corrupt_snapshot_count,0
parent_index_out_of_range_count,0
parent_index_duplicate_count,0
lineage_violation_count,0
cache_checksum_violation_count,0
closure_violation_count,0
