snapshot_id,scene_variant,source_point_count,target_point_count,parent_index_unique_count,parent_index_out_of_range_count,parent_index_duplicate_count,lineage_violation_count,source_inverse_transform_pass
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/0,GEOMETRY_RICH_ROOM,33218,44214,33218,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/1,GEOMETRY_RICH_ROOM,33046,44214,33046,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/2,GEOMETRY_RICH_ROOM,33225,44214,33225,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/3,GEOMETRY_RICH_ROOM,33113,44214,33113,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/4,GEOMETRY_RICH_ROOM,33195,44214,33195,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/0,GEOMETRY_RICH_ROOM,33239,44214,33239,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/1,GEOMETRY_RICH_ROOM,33173,44214,33173,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/2,GEOMETRY_RICH_ROOM,33175,44214,33175,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/3,GEOMETRY_RICH_ROOM,33149,44214,33149,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/4,GEOMETRY_RICH_ROOM,33182,44214,33182,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/0,GEOMETRY_RICH_ROOM,33327,44214,33327,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/1,GEOMETRY_RICH_ROOM,33169,44214,33169,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/2,GEOMETRY_RICH_ROOM,33242,44214,33242,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/3,GEOMETRY_RICH_ROOM,33058,44214,33058,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/4,GEOMETRY_RICH_ROOM,33144,44214,33144,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/0,GEOMETRY_RICH_ROOM,33140,44214,33140,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/1,GEOMETRY_RICH_ROOM,33100,44214,33100,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/2,GEOMETRY_RICH_ROOM,33215,44214,33215,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/3,GEOMETRY_RICH_ROOM,33201,44214,33201,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/4,GEOMETRY_RICH_ROOM,33180,44214,33180,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/0,GEOMETRY_RICH_ROOM,33155,44214,33155,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/1,GEOMETRY_RICH_ROOM,33157,44214,33157,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/2,GEOMETRY_RICH_ROOM,33178,44214,33178,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/3,GEOMETRY_RICH_ROOM,33251,44214,33251,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/4,GEOMETRY_RICH_ROOM,33107,44214,33107,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/0,GEOMETRY_RICH_ROOM,33170,44214,33170,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/1,GEOMETRY_RICH_ROOM,33264,44214,33264,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/2,GEOMETRY_RICH_ROOM,33051,44214,33051,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/3,GEOMETRY_RICH_ROOM,33090,44214,33090,0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/4,GEOMETRY_RICH_ROOM,33084,44214,33084,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/0/0,LONG_CORRIDOR,35676,47818,35676,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/0/1,LONG_CORRIDOR,35809,47818,35809,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/0/2,LONG_CORRIDOR,35866,47818,35866,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/0/3,LONG_CORRIDOR,35788,47818,35788,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/0/4,LONG_CORRIDOR,35761,47818,35761,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/1/0,LONG_CORRIDOR,35838,47818,35838,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/1/1,LONG_CORRIDOR,35996,47818,35996,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/1/2,LONG_CORRIDOR,36106,47818,36106,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/1/3,LONG_CORRIDOR,35926,47818,35926,0,0,0,True
phase-a-v1/LONG_CORRIDOR/0/1/4,LONG_CORRIDOR,35892,47818,35892,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/0/0,LONG_CORRIDOR,36000,47800,36000,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/0/1,LONG_CORRIDOR,35813,47800,35813,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/0/2,LONG_CORRIDOR,35846,47800,35846,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/0/3,LONG_CORRIDOR,35985,47800,35985,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/0/4,LONG_CORRIDOR,35818,47800,35818,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/1/0,LONG_CORRIDOR,35706,47800,35706,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/1/1,LONG_CORRIDOR,35706,47800,35706,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/1/2,LONG_CORRIDOR,35838,47800,35838,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/1/3,LONG_CORRIDOR,35751,47800,35751,0,0,0,True
phase-a-v1/LONG_CORRIDOR/1/1/4,LONG_CORRIDOR,35691,47800,35691,0,0,0,True
phase-a-v1/LONG_CORRIDOR/2/0/0,LONG_CORRIDOR,35755,47810,35755,0,0,0,True
