snapshot_id,scene_variant,reconstruction_error_median_m,reconstruction_error_q95_m,reconstruction_error_max_m,predicted_quantization_median_m,predicted_quantization_q95_m,predicted_quantization_max_m,closure_residual_max_m,float64_guard_max_m,max_normalized_closure_ratio,closure_residual_violation_count,actual_error_bound_violation_count,quantization_closure_pass
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/0,GEOMETRY_RICH_ROOM,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/1,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/2,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.97133977684944e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/3,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/4,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/0,GEOMETRY_RICH_ROOM,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,4.969956768222848e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/1,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/2,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.97133977684944e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/3,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.97133977684944e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/4,GEOMETRY_RICH_ROOM,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,4.969956768222848e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/0,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/1,GEOMETRY_RICH_ROOM,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/2,GEOMETRY_RICH_ROOM,0.0,1.7695128917694092e-08,5.960464477539063e-08,0.0,1.7695128917694092e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True
