backend,section,parameter,value,scene_specific
open3d_point_to_plane,registration,method,point_to_plane,false
open3d_point_to_plane,registration,maximum_correspondence_distance_m,0.50,false
open3d_point_to_plane,target_normals,radius_m,0.40,false
open3d_point_to_plane,target_normals,max_nn,50,false
open3d_point_to_plane,convergence,relative_fitness,1e-8,false
open3d_point_to_plane,convergence,relative_rmse,1e-8,false
open3d_point_to_plane,convergence,max_iteration,50,false
pcl_point_to_plane,normals,implementation,pcl::NormalEstimationOMP,false
pcl_point_to_plane,normals,method,KSearch,false
pcl_point_to_plane,normals,k,50,false
pcl_point_to_plane,registration,implementation,pcl::IterativeClosestPointWithNormals,false
pcl_point_to_plane,registration,transformation_estimation,TransformationEstimationPointToPlaneLLS,false
pcl_point_to_plane,registration,maximum_correspondence_distance_m,0.50,false
pcl_point_to_plane,registration,maximum_iterations,50,false
pcl_point_to_plane,registration,transformation_epsilon,1e-10,false
pcl_point_to_plane,registration,euclidean_fitness_epsilon,1e-10,false
pcl_point_to_plane,registration,use_reciprocal_correspondences,false,false
pcl_point_to_plane,registration,use_symmetric_objective,false,false
pcl_point_to_plane,registration,enforce_same_direction_normals,true,false

