snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,correspondence_turnover,correspondence_turnover_reason,accepted_scan_index_turnover,accepted_scan_index_turnover_reason,initial_correspondence_count,final_correspondence_count,correspondence_intersection_count,correspondence_union_count
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::IDEAL_MATCHED,GEOMETRY_RICH_ROOM,1850310744,217775206,0,IDEAL_MATCHED,0.0320692571326834,,2.261727054775342e-05,,44214,44213,43493,44934
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,0.0055044215845515,,0.0,,44206,44206,44084,44328
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,SCAN_NOISE_ONLY,0.052575934450783,,2.2620340209944523e-05,,44207,44208,43014,45401
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::MAP_NOISE_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,MAP_NOISE_ONLY,0.0440639723936558,,0.0,,44211,44211,43215,45207
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,DROPOUT_ONLY,0.0055152924016591,,0.0,,43757,43757,43636,43878
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,GEOMETRY_RICH_ROOM,1850310744,217775206,0,FULL_NOISE,0.0510880690667971,,0.0,,43794,43794,42646,44942
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED,LONG_CORRIDOR,1850310744,217775206,0,IDEAL_MATCHED,1.0,,0.0,,47818,47818,0,95636
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,LONG_CORRIDOR,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,1.0,,0.0,,47805,47805,0,95610
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,SCAN_NOISE_ONLY,0.4203482800779829,,0.0,,47805,47805,35084,60526
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::MAP_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,MAP_NOISE_ONLY,0.9999895407336128,,0.0,,47805,47805,1,95609
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::DROPOUT_ONLY,LONG_CORRIDOR,1850310744,217775206,0,DROPOUT_ONLY,1.0,,0.0,,47306,47306,0,94612
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::FULL_NOISE,LONG_CORRIDOR,1850310744,217775206,0,FULL_NOISE,0.9995245692068758,,0.0,,47348,47348,45,94651
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::IDEAL_MATCHED,PARALLEL_WALLS,1850310744,217775206,0,IDEAL_MATCHED,0.9897237218164496,,0.0,,39767,39767,809,78725
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,PARALLEL_WALLS,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,0.482851968353827,,0.0,,39791,39791,27127,52455
