gate,value
DEVELOPMENT_PIPELINE_EXECUTABLE,True
ALL_1260_SNAPSHOTS_COMPLETE,False
ALL_3780_TRIALS_COMPLETE,False
SNAPSHOT_PAIRING_PASS,True
OPEN3D_BACKEND_PASS,True
NO_CONFIRMATORY_SEED_ACCESS,True
NO_OLD_CAPTURE_TEST_SEED_ACCESS,True
NO_GT_OPTIMIZATION_LEAKAGE,True
IDEAL_MATCHED_CONTROL_PASS,False
PRELIMINARY_SCENE_EFFECT_OBSERVED,False
PRELIMINARY_CROSS_BACKEND_SIGNAL_OBSERVED,False
PRELIMINARY_REASSOCIATION_EFFECT_OBSERVED,False
NEW_PROTOCOL_AMBIGUITIES_FOUND,False
ZERO_PERTURBATION_CONFIRMATORY_LOCK_AUTHORIZED,False
ZERO_PERTURBATION_CONFIRMATORY_RUN_AUTHORIZED,False
REAL_DATA_VALIDATION_AUTHORIZED,False
MEASUREMENT_PAPER_MAINLINE_AUTHORIZED,False
PRELIMINARY_SCIENTIFIC_SIGNALS_EVALUATED,False
FULL_DEVELOPMENT_RUN_EXECUTED,False
