scene_variant,noise_condition,registration_backend,trial_count,endpoint_bin_width_translation_m_and_rotation_rad,descriptive_endpoint_bin_count,largest_endpoint_bin_fraction,formal_multi_attractor_claim_authorized
GEOMETRY_RICH_ROOM,IDEAL_MATCHED,native_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,IDEAL_MATCHED,native_frozen,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,IDEAL_MATCHED,open3d_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,INDEPENDENT_NOISE_FREE,native_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,INDEPENDENT_NOISE_FREE,native_frozen,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,INDEPENDENT_NOISE_FREE,open3d_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,SCAN_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,SCAN_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,SCAN_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,MAP_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,MAP_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,MAP_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,DROPOUT_ONLY,native_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,DROPOUT_ONLY,native_frozen,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,DROPOUT_ONLY,open3d_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,FULL_NOISE,native_full,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,FULL_NOISE,native_frozen,1,0.0001,1,1.0,False
GEOMETRY_RICH_ROOM,FULL_NOISE,open3d_full,1,0.0001,1,1.0,False
LONG_CORRIDOR,IDEAL_MATCHED,native_full,1,0.0001,1,1.0,False
LONG_CORRIDOR,IDEAL_MATCHED,native_frozen,1,0.0001,1,1.0,False
LONG_CORRIDOR,IDEAL_MATCHED,open3d_full,1,0.0001,1,1.0,False
LONG_CORRIDOR,INDEPENDENT_NOISE_FREE,native_full,1,0.0001,1,1.0,False
LONG_CORRIDOR,INDEPENDENT_NOISE_FREE,native_frozen,1,0.0001,1,1.0,False
