snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,normal_angle_common_count,median_normal_angle_change_deg,q95_normal_angle_change_deg,normal_angle_turnover_reason
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::IDEAL_MATCHED,GEOMETRY_RICH_ROOM,1850310744,217775206,0,IDEAL_MATCHED,44213,0.0,0.0,
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,44206,0.0,0.0,
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,SCAN_NOISE_ONLY,44207,0.0,0.0,
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::MAP_NOISE_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,MAP_NOISE_ONLY,44211,0.0,0.0,
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,DROPOUT_ONLY,43757,0.0,0.0,
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,GEOMETRY_RICH_ROOM,1850310744,217775206,0,FULL_NOISE,43794,0.0,0.0,
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED,LONG_CORRIDOR,1850310744,217775206,0,IDEAL_MATCHED,47818,0.0,3.026594353100165,
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,LONG_CORRIDOR,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,47805,0.0,9.900683396168576,
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,SCAN_NOISE_ONLY,47805,0.0,0.0,
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::MAP_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,MAP_NOISE_ONLY,47805,0.8088469186680313,6.231185135448354,
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::DROPOUT_ONLY,LONG_CORRIDOR,1850310744,217775206,0,DROPOUT_ONLY,47306,0.0,9.900683396168576,
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::FULL_NOISE,LONG_CORRIDOR,1850310744,217775206,0,FULL_NOISE,47348,0.7549766128697281,2.0146215157657497,
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::IDEAL_MATCHED,PARALLEL_WALLS,1850310744,217775206,0,IDEAL_MATCHED,39767,0.0,0.0,
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,PARALLEL_WALLS,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,39791,0.0,0.0,
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,SCAN_NOISE_ONLY,39791,0.0,0.0,
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::MAP_NOISE_ONLY,PARALLEL_WALLS,1850310744,217775206,0,MAP_NOISE_ONLY,39791,0.0,1.0721657842744765,
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::DROPOUT_ONLY,PARALLEL_WALLS,1850310744,217775206,0,DROPOUT_ONLY,39390,0.0,0.0,
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::FULL_NOISE,PARALLEL_WALLS,1850310744,217775206,0,FULL_NOISE,39388,0.0,0.4556460481974098,
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,IDEAL_MATCHED,48695,0.0,0.0,
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,48730,0.0,0.0,
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,SCAN_NOISE_ONLY,48730,0.0,0.0,
