backend_input_checksum,dropout_checksum,geometry_seed,map_checksum,map_point_count,map_point_count_before_dropout,measurement_seed,noise_checksum,noise_condition,primitive_count,reference_pose_checksum,repeat_index,scan_checksum,scan_point_count,scan_point_count_before_dropout,scene_checksum,scene_variant,snapshot_id
23f7525a26ed44e4685ce2729f90498f55ee608a9ecd91f6238007c1fcb48218,4336c83dcd2b50eb9d077b4befd73dd76adef560988931600dc81f1323663e0c,1850310744,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,44214,44214,217775206,e22a61a726edaf90c50223f6beee048ca830c8a2ebc0d8cb2cf982f4f27ceccb,IDEAL_MATCHED,24,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,c0bcee617e1009f4dc2a8810b8557cba014ff159c6b20f6906cdb428217ec8d9,44214,44214,bcebcd3fcbbca46ccac46c44b7c1cc4b196fc586a4e3c127162c079d001fe22c,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::IDEAL_MATCHED
c35a885446c786459f4828eaa74eea3c273064775494aca137446cd73b581931,4336c83dcd2b50eb9d077b4befd73dd76adef560988931600dc81f1323663e0c,1850310744,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,44214,44214,217775206,e22a61a726edaf90c50223f6beee048ca830c8a2ebc0d8cb2cf982f4f27ceccb,INDEPENDENT_NOISE_FREE,24,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,44214,44214,5b094d450431df33dd594d21c63e6fa3f35479b42cacc5ec691f134fde1cce0d,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE
63bff07661eb5a81c2bf99d9db095553fbca5f173089864c3e1ce203e933885f,4336c83dcd2b50eb9d077b4befd73dd76adef560988931600dc81f1323663e0c,1850310744,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,44214,44214,217775206,7d714a4a907e911eea5b0e7751825cc04e5645fa643500d3073009e4f5b7e30d,SCAN_NOISE_ONLY,24,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,831570eb57126cdda0b2d036b8f8b122a6faaa1d6be3c6e99dfddec8fb4e8336,44214,44214,5b094d450431df33dd594d21c63e6fa3f35479b42cacc5ec691f134fde1cce0d,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::SCAN_NOISE_ONLY
ea93ff752323b8e47622c8ad304d04d8e3d69c065a620108103ca388a20221ce,4336c83dcd2b50eb9d077b4befd73dd76adef560988931600dc81f1323663e0c,1850310744,8b785fce000a6627d3d6d439ea312957c6f0d2cb2f64b2db3619aa688adc09bd,44214,44214,217775206,7731f90c4a16c90e6ca14968d53a124e86b3554bdce7cc14db521ce60e178fa9,MAP_NOISE_ONLY,24,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,44214,44214,5b094d450431df33dd594d21c63e6fa3f35479b42cacc5ec691f134fde1cce0d,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::MAP_NOISE_ONLY
701c4f294f837ad8776bc390390bcdf6e287d1c688c17ed9a96439fcb9f88f39,be3aa1c2c0da37faed108721c8f1ddd167a03735d20bb21b808d060cf5d55838,1850310744,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,44214,44214,217775206,e22a61a726edaf90c50223f6beee048ca830c8a2ebc0d8cb2cf982f4f27ceccb,DROPOUT_ONLY,24,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,8cac379680166a4b855d8a0c643fe25f7156b52402b6e37f382cb7c20e2d1a09,43765,44214,5b094d450431df33dd594d21c63e6fa3f35479b42cacc5ec691f134fde1cce0d,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY
fd9ec88313ef16d2af6e85ec1531a33e56237692f72661525e4d32eae077de81,7af0040c7e34abe02cb4fb8d614c05bc098040c8ec84f24280dea4e02cc73ee4,1850310744,5dfa3875dfc12332d3c365e56c175ffdb034644ff2397d36516ae6d645315ae0,44214,44214,217775206,58274b815f78f3eb9b6957550c1be474122b316ae39ddb2ea8f56a994ff5ca29,FULL_NOISE,24,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,007cb6bb8aa0f2901bafcc1d54d0091205f9907a505f66fb53f44128df4df29a,43797,44214,5b094d450431df33dd594d21c63e6fa3f35479b42cacc5ec691f134fde1cce0d,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE
1fe54094e3c15801b0340686b6cbe80784e8fa32758558e7741c1c87ea7f163d,ab66eb2c2ea4274d33b98ac4e85731b6dd77d72aed77a40a52093331a5f42e79,1850310744,c58b185c2a48ae6373907aef708939a1571a34607f7ebf8bf30bb3805984c6bd,47818,47818,217775206,5d0e759b20c482e77e2a5cbc1a7a6e7aa336936107a800fd44c7b2eca722ffc4,IDEAL_MATCHED,4,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,573d3845f7b85fd10b4fae87b94f51ed9dcb9e3e0e78c71d7f0d842d9406e67d,47818,47818,ad41f362b0c42e7174fd6e48bba1d5d48dbfa4ec28fabdcfb5f0250816414f51,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED
2a5378031b34127072456dc8666514978ed51c399ce4c428e071f7e2a8d5704e,621e85e0102a76804160496563161b69341fc45c2774fe7075bdeb4ef03ffb06,1850310744,c58b185c2a48ae6373907aef708939a1571a34607f7ebf8bf30bb3805984c6bd,47818,47818,217775206,f92043178624e2e1485b3b92cda3cadd6fe89a052c401e2e8b5dd65292a4d08b,INDEPENDENT_NOISE_FREE,4,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,054e8e866781f3f22e33f31cefd92c967b94ab8f1be4558658639d42a53d8504,47805,47805,13953688d974396eefd956827de117ace6e05904c4437fc09da77309a693fc18,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE
72e780c1915f8fb5bd3cf1feefe1d6c299363ae842c7bd2e51fd69a5752b22cf,621e85e0102a76804160496563161b69341fc45c2774fe7075bdeb4ef03ffb06,1850310744,c58b185c2a48ae6373907aef708939a1571a34607f7ebf8bf30bb3805984c6bd,47818,47818,217775206,a084c9e99880479f45b8b7281da9b353a859881f6bc305e6f51f7408a29093e7,SCAN_NOISE_ONLY,4,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,e1910dd31c40b743e626c72bf9cd1789ccde0c863e7500c3a726dc342a40c60c,47805,47805,13953688d974396eefd956827de117ace6e05904c4437fc09da77309a693fc18,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::SCAN_NOISE_ONLY
01a7f4a626d07e8f7ca6be2f28d9388faa49c6f53e50c93a9d5d81dc45940ae4,621e85e0102a76804160496563161b69341fc45c2774fe7075bdeb4ef03ffb06,1850310744,5f9f12856dbfb9b5fa086b4a5b277b3ac40335975f0adcb650c527d7149290f6,47818,47818,217775206,43abe5ce6c1af8fee44c7183c021887849626eb87b4f437e597f5f2eb1a589b6,MAP_NOISE_ONLY,4,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,054e8e866781f3f22e33f31cefd92c967b94ab8f1be4558658639d42a53d8504,47805,47805,13953688d974396eefd956827de117ace6e05904c4437fc09da77309a693fc18,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::MAP_NOISE_ONLY
