traditional_metric,outcome,spearman_rho,snapshot_count
initial_cost,full_translation_error_m,-0.372336115387732,42
initial_cost,correspondence_turnover,-0.2924872394366303,42
initial_cost,full_frozen_translation_difference_m,-0.3877319504092051,42
final_cost,full_translation_error_m,0.008022040353293899,42
final_cost,correspondence_turnover,0.0558392097455911,42
final_cost,full_frozen_translation_difference_m,0.002025767765983308,42
initial_gradient_norm,full_translation_error_m,0.23814925856899766,42
initial_gradient_norm,correspondence_turnover,0.04481724671888516,42
initial_gradient_norm,full_frozen_translation_difference_m,0.15160845960619074,42
lambda_min,full_translation_error_m,-0.6523782513572645,42
lambda_min,correspondence_turnover,-0.4737012786110014,42
lambda_min,full_frozen_translation_difference_m,-0.6392512762336926,42
condition_number,full_translation_error_m,0.6504335143019204,42
condition_number,correspondence_turnover,0.4694869986302021,42
condition_number,full_frozen_translation_difference_m,0.637630662020906,42
lambda_min_over_lambda_max,full_translation_error_m,-0.6504335143019204,42
lambda_min_over_lambda_max,correspondence_turnover,-0.4694869986302021,42
lambda_min_over_lambda_max,full_frozen_translation_difference_m,-0.637630662020906,42
spectral_entropy,full_translation_error_m,-0.5643788996029495,42
spectral_entropy,correspondence_turnover,-0.44436340643697536,42
spectral_entropy,full_frozen_translation_difference_m,-0.5269427112875781,42
effective_rank,full_translation_error_m,-0.5643788996029495,42
effective_rank,correspondence_turnover,-0.44436340643697536,42
effective_rank,full_frozen_translation_difference_m,-0.5269427112875781,42
ODI,full_translation_error_m,0.5643788996029495,42
ODI,correspondence_turnover,0.44436340643697536,42
ODI,full_frozen_translation_difference_m,0.5269427112875781,42
AIS,full_translation_error_m,-0.5702131107689815,42
AIS,correspondence_turnover,-0.44209417875500645,42
AIS,full_frozen_translation_difference_m,-0.5206223158577101,42
correspondence_count,full_translation_error_m,-0.1521245945181928,42
correspondence_count,correspondence_turnover,-0.1862125198709397,42
correspondence_count,full_frozen_translation_difference_m,-0.007622447699738873,42
