gate,value
PHASE_A_EXECUTION_CHAIN_SCHEMA_PASS,True
PHASE_A_EXECUTION_CHAIN_WRITER_PASS,True
PHASE_A_EXECUTION_CHAIN_RESUME_PASS,True
PHASE_A_EXECUTION_CHAIN_FIXTURE_PASS,True
PHASE_A_EXECUTION_CHAIN_FAILURE_CLASSIFICATION_PASS,True
PHASE_A_EXECUTION_CHAIN_ANALYSIS_PASS,True
PHASE_A_EXECUTION_CHAIN_INDEPENDENT_VERIFIER_PASS,True
PHASE_A_EXECUTION_CHAIN_ANALYSIS_VERIFIER_MATCH,True
PHASE_A_EXECUTION_CHAIN_PUBLISHER_PASS,True
PHASE_A_EXECUTION_CHAIN_ARTIFACT_VERIFICATION_PASS,True
PHASE_A_EXECUTION_CHAIN_TAMPER_REJECTION_PASS,True
PHASE_A_EXECUTION_CHAIN_INTERRUPTION_RESUME_PASS,False
