json_path,value_summary,classification,reason,target_v2_lock,retained_unchanged,legacy_conflict_risk
$.PHASE_A_V1_2_PROTOCOL_LOCK_PASS,true,FORMAL_RUN_AUTHORIZATION,is a historical pass or execution authorization flag,Formal Run Lock v2,true,HIGH
$.SEED_CONTINUATION_AFTER_PRE_BACKEND_ABORT_JUSTIFIED,true,SNAPSHOT_PROVENANCE,records the pre-backend Stage-0 seed-continuation provenance decision,Snapshot Lock binding,true,LOW
$.implementation,"{""files"":{""development_protocol_loader"":{""path"":""src/zero_perturbation/protocol.py"",""sha256"":""b744409a669cdea7f14b5e6b3ed0a10f7dbf488c19d5b3e98a11b734faed28f7""},""open3d_backend""...",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files,"{""development_protocol_loader"":{""path"":""src/zero_perturbation/protocol.py"",""sha256"":""b744409a669cdea7f14b5e6b3ed0a10f7dbf488c19d5b3e98a11b734faed28f7""},""open3d_backend"":{""path"":...",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.development_protocol_loader,"{""path"":""src/zero_perturbation/protocol.py"",""sha256"":""b744409a669cdea7f14b5e6b3ed0a10f7dbf488c19d5b3e98a11b734faed28f7""}",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.development_protocol_loader.path,"""src/zero_perturbation/protocol.py""",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.development_protocol_loader.sha256,"""b744409a669cdea7f14b5e6b3ed0a10f7dbf488c19d5b3e98a11b734faed28f7""",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.open3d_backend,"{""path"":""src/zero_perturbation/open3d_backend.py"",""sha256"":""eb327dd5d13f7cf099469e5e1a315e23c41d593cd7301d278135b4276b9f255f""}",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.open3d_backend.path,"""src/zero_perturbation/open3d_backend.py""",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.open3d_backend.sha256,"""eb327dd5d13f7cf099469e5e1a315e23c41d593cd7301d278135b4276b9f255f""",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.pcl_cli_source,"{""path"":""tools/pcl_point_to_plane/pcl_point_to_plane_cli.cpp"",""sha256"":""2a7203b82cc9401c558fe3ad410d7eb5a2f253ca0578db7e2c2f069715fad56c""}",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.pcl_cli_source.path,"""tools/pcl_point_to_plane/pcl_point_to_plane_cli.cpp""",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.pcl_cli_source.sha256,"""2a7203b82cc9401c558fe3ad410d7eb5a2f253ca0578db7e2c2f069715fad56c""",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.pcl_python_adapter,"{""path"":""src/zero_perturbation/pcl_backend.py"",""sha256"":""25e45b31bc90c93bc578104c994992c3f913437b12bf46389a8380d1d06b9e31""}",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
$.implementation.files.pcl_python_adapter.path,"""src/zero_perturbation/pcl_backend.py""",EXECUTION_IMPLEMENTATION,"binds executable source, binary, or implementation provenance",Execution Implementation Lock v2,true,MEDIUM
