scene_variant,direction_id,role,offline_analysis_only
GEOMETRY_RICH_ROOM,pos_x,control,true
GEOMETRY_RICH_ROOM,neg_x,control,true
GEOMETRY_RICH_ROOM,pos_y,control,true
GEOMETRY_RICH_ROOM,neg_y,control,true
GEOMETRY_RICH_ROOM,pos_z,control,true
GEOMETRY_RICH_ROOM,neg_z,control,true
GEOMETRY_RICH_ROOM,ico_00,supplemental,true
GEOMETRY_RICH_ROOM,ico_01,supplemental,true
GEOMETRY_RICH_ROOM,ico_02,supplemental,true
GEOMETRY_RICH_ROOM,ico_03,supplemental,true
GEOMETRY_RICH_ROOM,ico_04,supplemental,true
GEOMETRY_RICH_ROOM,ico_05,supplemental,true
GEOMETRY_RICH_ROOM,ico_06,supplemental,true
GEOMETRY_RICH_ROOM,ico_07,supplemental,true
GEOMETRY_RICH_ROOM,ico_08,supplemental,true
GEOMETRY_RICH_ROOM,ico_09,supplemental,true
GEOMETRY_RICH_ROOM,ico_10,supplemental,true
GEOMETRY_RICH_ROOM,ico_11,supplemental,true
LONG_CORRIDOR,pos_x,weak,true
LONG_CORRIDOR,neg_x,weak,true
LONG_CORRIDOR,pos_y,strong,true
LONG_CORRIDOR,neg_y,strong,true
LONG_CORRIDOR,pos_z,strong,true
LONG_CORRIDOR,neg_z,strong,true
LONG_CORRIDOR,ico_00,supplemental,true
LONG_CORRIDOR,ico_01,supplemental,true
LONG_CORRIDOR,ico_02,supplemental,true
LONG_CORRIDOR,ico_03,supplemental,true
LONG_CORRIDOR,ico_04,supplemental,true
LONG_CORRIDOR,ico_05,supplemental,true
LONG_CORRIDOR,ico_06,supplemental,true
LONG_CORRIDOR,ico_07,supplemental,true
LONG_CORRIDOR,ico_08,supplemental,true
LONG_CORRIDOR,ico_09,supplemental,true
LONG_CORRIDOR,ico_10,supplemental,true
LONG_CORRIDOR,ico_11,supplemental,true
PARALLEL_WALLS,pos_x,weak,true
PARALLEL_WALLS,neg_x,weak,true
PARALLEL_WALLS,pos_y,strong,true
PARALLEL_WALLS,neg_y,strong,true
PARALLEL_WALLS,pos_z,strong,true
PARALLEL_WALLS,neg_z,strong,true
PARALLEL_WALLS,ico_00,supplemental,true
PARALLEL_WALLS,ico_01,supplemental,true
PARALLEL_WALLS,ico_02,supplemental,true
PARALLEL_WALLS,ico_03,supplemental,true
PARALLEL_WALLS,ico_04,supplemental,true
PARALLEL_WALLS,ico_05,supplemental,true
PARALLEL_WALLS,ico_06,supplemental,true
PARALLEL_WALLS,ico_07,supplemental,true
PARALLEL_WALLS,ico_08,supplemental,true
PARALLEL_WALLS,ico_09,supplemental,true
PARALLEL_WALLS,ico_10,supplemental,true
PARALLEL_WALLS,ico_11,supplemental,true
END_FACE_TRANSITION_PRESENT,pos_x,control,true
END_FACE_TRANSITION_PRESENT,neg_x,control,true
END_FACE_TRANSITION_PRESENT,pos_y,strong,true
END_FACE_TRANSITION_PRESENT,neg_y,strong,true
END_FACE_TRANSITION_PRESENT,pos_z,strong,true
END_FACE_TRANSITION_PRESENT,neg_z,strong,true
END_FACE_TRANSITION_PRESENT,ico_00,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_01,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_02,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_03,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_04,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_05,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_06,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_07,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_08,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_09,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_10,supplemental,true
END_FACE_TRANSITION_PRESENT,ico_11,supplemental,true
END_FACE_TRANSITION_WEAK,pos_x,weak,true
END_FACE_TRANSITION_WEAK,neg_x,weak,true
END_FACE_TRANSITION_WEAK,pos_y,strong,true
END_FACE_TRANSITION_WEAK,neg_y,strong,true
