x,y,z
4.219469678,-5.309966492,-2.425252085
-8.277932335,1.197587221,2.708880145
-11.108595674,-0.218190222,-2.234889663
9.515027296,-1.883747594,-2.764397295
5.867852337,0.714455669,1.313182756
-9.585548968,-4.232554163,-1.426921462
11.691902556,-3.776437019,1.511049830
4.372004892,3.077972946,-0.458824792
8.676973845,-0.333634794,-1.925913114
-0.032908013,3.355713247,-3.046508181
7.827855686,0.170969756,3.232681040
0.818164865,6.872164669,-2.573755846
-12.442639375,-0.120846291,-3.971051621
-0.146164211,-7.101979176,2.661601637
8.894500341,-0.854815170,-2.972524303
10.611894865,8.950817338,0.110500431
-5.572623559,-1.608547885,2.328451076
-10.201402454,-5.922919690,-2.342996662
11.989643849,4.234224488,3.599722549
14.482805097,1.007228988,-1.971511202
4.741159303,6.373330824,2.689957644
-16.074915132,8.759826796,-0.425777030
-9.047632033,-3.929980325,3.501263793
-6.693390962,-1.684232900,-2.952587117
-1.136328837,2.621330789,-0.243512058
-6.015974768,1.729478918,-0.913993534
-4.861341076,-3.130498319,-0.371413217
-1.546828546,8.389320353,-2.471462830
11.858974218,4.974013082,2.426751396
14.680698351,-5.271515430,3.860282075
-4.936809098,8.994111876,-1.681418587
-7.722782090,-0.402019946,0.714592375
-14.273929606,-4.944400573,1.281934739
5.238572079,1.313302512,0.442253297
8.007738923,7.268005255,-2.009881417
1.131810233,-0.860847928,3.175937817
-3.572591360,5.843922039,3.257659902
5.885462446,7.117537872,2.290908068
9.027851154,-6.139961154,-3.162455952
-9.215812714,-0.863959642,-0.770186442
-12.137062406,1.185054941,0.495310231
-13.051288965,-5.543623552,2.471553742
-9.830370280,2.964047176,2.330088702
-9.868810377,-7.853242053,2.942728096
11.560368607,-6.153774537,3.797095557
10.823653633,4.182674942,-1.553959796
-5.616133010,-3.199345093,-2.178848895
2.174080066,5.449676395,-0.176858997
-5.638464631,4.683803819,-0.097165511
-7.157143559,7.516706362,3.393357950
0.170326279,-1.463790262,-2.405028283
4.802536028,0.979180320,-3.731194495
15.513714708,-7.377535974,-1.661662310
0.723036994,-7.780437673,3.487698223
7.731059794,2.836650984,1.449872773
14.705796275,7.194661218,-3.376752428
-10.573913255,-6.656137769,-1.674086260
6.547168144,-2.519136121,0.680405965
3.761898901,-0.376040554,-0.531965979
10.611633069,7.356403810,1.985378012
0.453237141,-6.546559141,-3.022493541
3.929893262,2.288273273,-3.101320225
13.946472857,2.485466995,-3.035190059
13.177679992,7.030778031,1.157807100
10.313407888,1.034649959,-0.198901964
11.363435769,-3.390995388,-1.666914922
13.818945054,4.357466756,-3.284724776
-13.137968756,-4.460966861,2.965629370
6.897338353,4.186627138,-0.134249832
-3.658763822,-0.991881679,0.118397357
-11.199908627,-7.994817811,3.925024908
-11.318203465,-2.739446043,2.088991348
-6.631278837,1.846087403,2.140852995
-14.879588966,-5.595397430,1.450759632
7.449590705,2.818859280,2.395699678
-4.409929575,0.701095481,-1.562998154
-0.818944476,2.150322514,2.589756128
-1.402071399,7.640666765,3.182175296
-12.603607389,-0.160576503,0.437841936
9.282371982,-5.422450772,3.082825007
4.054497290,-1.812581394,-2.982656491
13.277921428,0.359735752,2.724878195
-10.029007312,2.286383804,2.309055954
-5.316431343,-8.766447551,-3.052849259
-9.595627971,-0.268355494,-1.356561274
6.809423581,0.373865257,2.413587226
15.695937345,7.392533579,-2.973324380
-13.582022367,5.894164054,-2.673635751
15.975057424,7.025681419,0.484138379
-2.821537768,8.497048173,-2.292326126
4.992739047,-6.896443790,-3.777318289
-2.690477939,-6.450933006,-0.576504063
4.096304749,2.182332022,1.987547275
-3.790908869,3.859581322,0.407028633
-0.718932490,-6.483100636,-1.382912087
-0.243886308,1.018202727,-2.387381013
-15.410193170,4.705591595,2.882181809
-8.276509595,-5.794985879,1.236831335
2.636243354,-3.148314046,1.373569788
-14.892997631,4.671574729,-0.668931881
2.031213369,6.255854627,3.907463722
-7.424965787,-4.594683607,-2.247035512
-1.965803454,7.970819770,-0.473360659
-1.860831584,-5.535068022,-1.238222023
5.950587483,-7.203504720,-0.277843933
3.874725874,-8.411145925,1.147933152
11.163521736,-1.612601994,2.933323428
15.949886477,2.451856729,-1.538581858
-0.622942481,-0.304397170,3.653285977
-16.987209041,3.139880147,-1.575532025
-7.796109289,-3.036988902,3.568146024
-15.512607122,-2.282245750,2.954162170
0.592672655,1.149621028,2.221444678
-4.414290489,1.145237836,-2.776851930
-5.394134946,2.882471230,-0.276571912
-1.982453416,-6.106118957,-0.951373784
1.642735113,3.646137660,-1.947673210
-1.853100192,-0.588160658,-1.076683890
-8.824431972,1.954900828,2.724412369
3.259654032,-0.517985613,-3.402968058
12.210668463,7.757510049,3.611892116
1.561618880,-2.836285473,-3.069894777
8.798320617,0.812536867,-2.830919686
-11.103891929,8.792284548,2.408615055
15.771496012,-3.864666846,1.891026955
12.157655879,3.262406342,-3.597163327
-8.333013943,5.827512017,-2.270982546
13.551442549,1.106072856,2.470701999
-11.332288273,-8.366822827,-1.344762677
-4.544623915,1.798141893,-3.880963742
15.175871825,5.267519260,0.813850346
4.751594808,-6.735299664,2.470663377
8.591415175,-1.171485703,-3.878302352
-1.744436359,7.684690155,0.408778905
-16.821345089,7.365097926,-3.808472391
4.030313940,-3.553839000,3.514129226
5.634884011,6.107668645,-3.435215575
-4.373563451,-3.755580651,-3.817235170
9.065772338,-3.970696876,-3.715567002
-14.690997860,2.001107363,-3.855580898
-10.077357440,5.698289319,2.395584762
6.437912609,0.120497770,-1.103839202
9.621413670,-8.508151701,3.358424510
15.659093825,-5.038239217,1.795236097
13.584283339,8.753208040,-3.972936019
1.387782132,7.914127979,-1.342330577
-0.610246094,3.736863767,-1.659445230
15.509983366,-5.530003106,0.694605876
3.931918693,4.485339824,1.896361965
1.177212018,-2.953251843,2.219975955
11.609624870,4.313161557,1.446214867
6.624717443,4.470444307,-2.598701915
-8.765631388,2.583497579,-2.859013071
16.625919727,3.740283679,3.297773251
-0.221747713,-4.839851674,-0.054464427
10.650538159,-5.619593617,2.253589328
-7.727640657,6.818043012,-2.338662486
-6.246432523,-7.279377029,-3.740603349
-4.750080214,-0.964278485,-3.515419452
-14.134650357,6.743300595,0.791261259
-3.488554150,-7.655758665,0.317909203
2.845948425,-3.829399901,2.644496539
-0.773054476,-4.790270044,2.746842957
8.581252702,1.223085331,2.598537244
-9.069707721,-0.624613132,-1.123439082
-5.609528221,1.212583900,-3.763367718
-11.028490687,2.913626486,-2.694217362
11.738508149,-4.885385944,0.223231163
-7.099594372,-0.626453682,-3.030483818
-12.293376509,-0.633685425,0.989484445
3.610997567,4.333634143,2.103633777
2.692775446,-2.171239702,3.864667834
2.248012152,-3.645601718,0.673876473
6.803674881,-5.000114377,3.441818974
13.130410732,1.393315481,1.386138062
-7.356215826,1.244980563,-1.394226928
-4.740322007,-2.524289695,-2.096614011
-10.122965825,0.195613799,-2.987147743
-11.928420197,5.501643941,0.669176593
9.213716492,-4.302246435,2.615223978
6.718680162,6.248490851,3.334581587
8.565450642,-5.266588006,-3.791156894
-16.521298651,-6.319306120,-2.130184910
9.748849062,-7.602027921,0.931802443
13.011305864,-6.241366962,1.293378824
-9.253484766,0.783367065,-3.848504685
-13.160756823,3.272246061,-1.743343066
2.756683415,8.914714651,-1.043720544
1.979216364,-5.242575680,-0.229207015
2.736960662,6.476425542,1.693403431
-7.976376975,-8.854846802,3.315032402
4.227747970,-6.479255264,-1.081997072
-8.260939980,-2.984251265,-2.813068762
-7.393211487,-7.128601537,-3.928899340
13.014378064,-8.235707147,-2.594968269
11.957365803,-4.707651628,2.445904414
14.773103914,-1.043780150,2.021239641
3.766562138,7.008139143,0.908439427
-13.228989749,-1.593145526,-1.203592835
-0.993732772,-0.912702712,-0.730748491
14.507146155,6.428653082,-0.163454053
14.581264837,1.709166318,2.116990310
-16.333551229,4.946024883,0.050803104
7.783839105,-2.551777780,-1.806151945
-2.286660522,-3.634654221,-3.227381028
7.629947473,-3.835924165,1.467842142
