plane_id,frame_start,frame_end,nx,ny,nz,qx,qy,qz,semantic,ux,uy,uz,vx,vy,vz,half_u,half_v,sampling_weight,is_axial_support
oc_plane_00,0,59,1.000000000,0.000000000,0.000000000,-5.226225003,-1.014193656,2.526041069,open_control_plane,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_01,0,59,-1.000000000,0.000000000,0.000000000,6.374717147,-3.592332158,-0.478866098,open_control_plane,0.000000000,1.000000000,-0.000000000,-0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_02,0,59,0.000000000,1.000000000,0.000000000,2.159367820,6.061298656,-2.300809557,open_control_plane,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_03,0,59,0.000000000,-1.000000000,0.000000000,14.093094177,-3.322719841,2.226054475,open_control_plane,-1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_04,0,59,0.000000000,0.000000000,1.000000000,0.841226162,-2.719499168,0.458428492,open_control_plane,0.000000000,1.000000000,0.000000000,-1.000000000,0.000000000,0.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_05,0,59,0.000000000,0.000000000,-1.000000000,-0.480544662,-6.255513886,-0.420139676,open_control_plane,0.000000000,-1.000000000,0.000000000,-1.000000000,-0.000000000,-0.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_06,0,59,0.577350269,0.577350269,0.577350269,14.546662441,2.847223421,-3.040380977,open_control_plane,0.707106781,-0.707106781,0.000000000,0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_07,0,59,0.577350269,0.577350269,-0.577350269,6.849666076,3.588978820,-0.040481341,open_control_plane,0.707106781,-0.707106781,0.000000000,-0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_08,0,59,0.577350269,-0.577350269,0.577350269,-16.000372133,0.977745467,-1.741252034,open_control_plane,-0.707106781,-0.707106781,0.000000000,0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_09,0,59,0.577350269,-0.577350269,-0.577350269,1.452094600,-2.154658350,-0.779412828,open_control_plane,-0.707106781,-0.707106781,0.000000000,-0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_10,0,59,-0.577350269,0.577350269,0.577350269,14.875421019,7.993161186,-2.620274696,open_control_plane,0.707106781,0.707106781,-0.000000000,-0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_11,0,59,-0.577350269,0.577350269,-0.577350269,-8.606337559,8.720647068,0.447897949,open_control_plane,0.707106781,0.707106781,-0.000000000,0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_12,0,59,-0.577350269,-0.577350269,0.577350269,6.387823361,1.587757355,-3.022133308,open_control_plane,-0.707106781,0.707106781,0.000000000,-0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_13,0,59,-0.577350269,-0.577350269,-0.577350269,1.794442061,-8.223073797,-3.991763026,open_control_plane,-0.707106781,0.707106781,0.000000000,0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_14,0,59,0.707106781,0.707106781,0.000000000,-16.329247934,0.060477264,-3.286304832,open_control_plane,0.707106781,-0.707106781,0.000000000,0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_15,0,59,-0.707106781,-0.707106781,0.000000000,-15.806085566,-7.259982746,0.193279096,open_control_plane,-0.707106781,0.707106781,0.000000000,-0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_16,0,59,0.707106781,-0.707106781,0.000000000,4.505142552,-5.121010105,3.320655709,open_control_plane,-0.707106781,-0.707106781,0.000000000,0.000000000,-0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_17,0,59,-0.707106781,0.707106781,0.000000000,-10.814816452,-1.203711545,1.119399957,open_control_plane,0.707106781,0.707106781,-0.000000000,-0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
