plane_id,frame_start,frame_end,nx,ny,nz,qx,qy,qz,semantic,ux,uy,uz,vx,vy,vz,half_u,half_v,sampling_weight,is_axial_support
st_left_wall,0,59,0.000000000,-1.000000000,0.000000000,15.000000000,2.000000000,1.500000000,left_wall,1.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,1.000000000,15.000000000,1.500000000,0.248750000,0
st_right_wall,0,59,0.000000000,1.000000000,0.000000000,15.000000000,-2.000000000,1.500000000,right_wall,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,15.000000000,1.500000000,0.248750000,0
st_floor,0,59,0.000000000,0.000000000,1.000000000,15.000000000,0.000000000,0.000000000,floor,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,15.000000000,2.000000000,0.248750000,0
st_ceiling,0,59,0.000000000,0.000000000,-1.000000000,15.000000000,0.000000000,3.000000000,ceiling,1.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,0.000000000,15.000000000,2.000000000,0.248750000,0
st_axial_patch_00,0,10,0.209735833,-0.977758089,0.000000000,2.169431250,-1.812824585,1.223106680,local_axial_support,-0.977758089,-0.209735833,0.000000000,0.000000000,-0.000000000,-1.000000000,0.483477043,0.486133876,0.000625000,1
st_axial_patch_01,6,18,0.228848340,0.973462088,0.000000000,5.915483862,1.866404466,1.478799500,local_axial_support,0.973462088,-0.228848340,0.000000000,0.000000000,0.000000000,-1.000000000,0.295741435,0.451367143,0.000625000,1
st_axial_patch_02,14,26,0.309898022,0.000000000,-0.950769802,10.073632700,-1.851273138,0.929928567,local_axial_support,0.000000000,-1.000000000,0.000000000,-0.950769802,-0.000000000,-0.309898022,0.460438230,0.564724470,0.000625000,1
st_axial_patch_03,21,33,0.249291577,0.000000000,0.968428474,13.481237521,1.945589877,1.581478789,local_axial_support,0.000000000,1.000000000,0.000000000,-0.968428474,0.000000000,0.249291577,0.334703049,0.494218899,0.000625000,1
st_axial_patch_04,26,38,0.233241546,-0.972418830,0.000000000,16.500638987,-1.889613991,2.156268574,local_axial_support,-0.972418830,-0.233241546,0.000000000,0.000000000,-0.000000000,-1.000000000,0.533219353,0.327609548,0.000625000,1
st_axial_patch_05,34,46,0.214562139,0.976710340,0.000000000,20.310212607,1.802327941,1.583980865,local_axial_support,0.976710340,-0.214562139,0.000000000,0.000000000,0.000000000,-1.000000000,0.456363147,0.514693934,0.000625000,1
st_axial_patch_06,41,53,0.197112667,0.000000000,-0.980380843,24.095266227,-1.867083344,0.814743850,local_axial_support,0.000000000,-1.000000000,0.000000000,-0.980380843,-0.000000000,-0.197112667,0.250308887,0.258877601,0.000625000,1
st_axial_patch_07,49,59,0.250470379,0.000000000,0.968124263,28.105108221,1.936618216,0.802672696,local_axial_support,0.000000000,1.000000000,0.000000000,-0.968124263,0.000000000,0.250470379,0.279000288,0.485871949,0.000625000,1
