sort_order,candidate_origin,source_name,source_sequence_name,canonical_sequence_id,role_candidate,location_family,license_status,availability,selected,selected_namespace,selected_role,decision_reason,metadata_record_sha256,source_path,source_row
FIXED-01,APPROVAL,FAST_LIO2_AVIA_EXAMPLES,2020-09-16-quick-shack.bag,avia_quick_shack,DEGENERATE,avia_quick_shack_family,LOCAL,LOCAL,true,QUICK,DEGENERATE,FIXED_APPROVAL,,manifests/harmful_bias/data_split_approval_v1.json,fixed.quick.degenerate
FIXED-02,APPROVAL,FAST_LIO2_AVIA_EXAMPLES,outdoor_run_100Hz_2020-12-27-17-12-19.bag,avia_outdoor_run_100hz,CONTROL,avia_outdoor_run_family,LOCAL,LOCAL,true,QUICK,CONTROL,FIXED_APPROVAL,,manifests/harmful_bias/data_split_approval_v1.json,fixed.quick.control
FIXED-03,APPROVAL,FAST_LIO2_AVIA_EXAMPLES,outdoor_Mainbuilding_100Hz_2020-12-24-16-46-29.bag,avia_mainbuilding_100hz,DEGENERATE,avia_hku_mainbuilding_family,LOCAL,LOCAL,true,DEVELOPMENT,DEGENERATE,FIXED_APPROVAL,,manifests/harmful_bias/data_split_approval_v1.json,fixed.development.degenerate.1
FIXED-04,APPROVAL,FAST_LIO2_AVIA_EXAMPLES,outdoor_Mainbuilding_10hz_2020-12-24-16-38-00.bag,avia_mainbuilding_10hz,DEGENERATE,avia_hku_mainbuilding_family,LOCAL,LOCAL,true,DEVELOPMENT,DEGENERATE,FIXED_APPROVAL,,manifests/harmful_bias/data_split_approval_v1.json,fixed.development.degenerate.2
FIXED-05,APPROVAL,FAST_LIO2_AVIA_EXAMPLES,HKU_MB_2020-09-20-13-34-51.bag,avia_hku_mb,DEGENERATE,avia_hku_mainbuilding_family,LOCAL,LOCAL,true,DEVELOPMENT,DEGENERATE,FIXED_APPROVAL,,manifests/harmful_bias/data_split_approval_v1.json,fixed.development.degenerate.3
FIXED-06,APPROVAL,NTU_VIRAL,eee_03,NTU_VIRAL__eee_03,CONTROL,ntu_eee,CLEARED,LOCAL,true,DEVELOPMENT,CONTROL,FIXED_APPROVAL,0d7e9c71a291a51d55228fb9a414fe7c55c15ed1cfaf3f0ea03a58ec8058e037,docs/datasets/day7_fastlio2_adapter_release_matrix_v1.csv,3
FIXED-07,APPROVAL,MUN_FRL,Lighthouse_benchmarking_bag,MUN_FRL__Lighthouse_benchmarking_bag,AUXILIARY,mun_dji_lighthouse,CLEARED,LOCAL,true,DEVELOPMENT,AUXILIARY,FIXED_APPROVAL,249beebc47c5c7845e00b95e77793ec295440b14e3540ba06c8336559ea30b92,docs/datasets/day7_fastlio2_adapter_release_matrix_v1.csv,2
1,DAY6_SEQUENCE_INVENTORY,HELIPR,Bridge02,HELIPR__Bridge02,DEGENERATE,helipr_bridge,CLEARED,METADATA_AVAILABLE,true,HOLDOUT_DEV,DEGENERATE,HOLDOUT_DEGENERATE,eaf3e4cc5c3c45cd74425c8f319c4262d50c8c8ea19ca1d88ea955d6829ceb14,docs/datasets/dataset_sequence_inventory_v1.csv,28
2,DAY6_SEQUENCE_INVENTORY,HELIPR,Roundabout01,HELIPR__Roundabout01,CONTROL,helipr_roundabout,CLEARED,METADATA_AVAILABLE,true,DEVELOPMENT,CONTROL,DEVELOPMENT_EXTRA_CONTROL,ea3c38098ba07b990716a6a93e5fd7c3089f6b69c3f55596167b903ad8526e9c,docs/datasets/dataset_sequence_inventory_v1.csv,26
3,DAY6_SEQUENCE_INVENTORY,HELIPR,Town02,HELIPR__Town02,DEGENERATE,helipr_town,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,DEGENERATE,FUTURE_DEGENERATE,c664011d137978c3bca76f81c48faeb81487f855920faab8c5370912667bb112,docs/datasets/dataset_sequence_inventory_v1.csv,27
