operation_id,operation_name,operation_class,file_relpath,symbol,line_start,line_end,source_sha256,state_written,map_written,correspondence_written,random_state_written,thread_sensitive,allowed_for_day3_tap,tap_must_run_before,tap_must_run_after,confidence,notes
"M01","LiDAR/IMU scan assembly","READ_WRITE","src/laserMapping.cpp","sync_packages","368","424","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","false","false","false","false","false","true","CONFIRMED","A Day 3 scan_index may increment once after successful return; it must not affect synchronization."
"M02","IMU propagation to scan end","WRITE","src/IMU_Processing.hpp","ImuProcess::UndistortPcl predict calls","243","303","a456016e268680555919f58ae066354fd297a27f49be197292452f4147e1e0f5","true","false","false","false","false","false","false","true","CONFIRMED","Produces the formal propagated prior state and covariance."
"M03","Start scan-level read-only collector","READ","src/laserMapping.cpp","main after ImuProcess::Process and before lasermap_fov_segment","888","901","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","false","false","false","true","true","true","CONFIRMED","Day 3 candidate for copying timestamps, prior pose, prior covariance, and resetting a collector-only call counter. No implementation exists on Day 2."
"M04","Local map range update and FOV pruning","READ_WRITE","src/laserMapping.cpp","lasermap_fov_segment","231","277","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","true","false","false","true","false","false_current_scan_true_next_scan","true","CONFIRMED","This current-scan delete precedes formal J/r construction. The split collector records that measurement rows refer to the post-prune map and must finish before any later map mutation."
"M05","Scan downsampling","READ_WRITE","src/laserMapping.cpp","downSizeFilterSurf.filter","903","907","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","false","false","false","false","false","true","CONFIRMED","Defines the current-point index sequence used by the formal correspondence loop."
"M06","Initial map build branch","WRITE","src/laserMapping.cpp","ikdtree.Build","908","921","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","true","false","false","true","false","true","false","CONFIRMED","The scan continues immediately after Build and has no measurement update or observation record."
"M07","Map size read","READ","src/laserMapping.cpp","ikdtree.validnum and ikdtree.size","923","924","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","false","false","true","true","false","true","CONFIRMED","Read-only diagnostics; collector may copy existing values but must not add map queries."
"M08","Nearest-neighbor query","READ_WRITE","src/laserMapping.cpp","h_share_model Nearest_Search","650","672","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","true","false","true","false","false","true","CONFIRMED","Reads the post-prune map and writes native Nearest_Points cache. Tap must reuse these results and trigger no additional query."
"M09","Plane fit and correspondence acceptance","READ_WRITE","src/laserMapping.cpp","h_share_model plane/residual selection","674","705","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","true","false","true","false","false","true","CONFIRMED","Writes native validity, compacted point/normal arrays, signed residual cache, and effective count."
"M10","Formal J/r construction","WRITE","src/laserMapping.cpp","h_share_model h_x and h","719","751","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","true","false","false","true","false","true","CONFIRMED","Recommended measurement-model collector boundary is immediately after the row loop finishes and before returning to the filter. It only copies the first valid linearization."
"M11","Measurement-model read-only collection","READ","src/laserMapping.cpp","h_share_model return boundary","750","754","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","false","false","false","false","false","true","true","true","CONFIRMED","Day 3 conceptual candidate only: copy formal h_x, h, constant variance, accepted indices, native neighbors, and plane coefficients; return no signal and mutate no native cache."
