repository,commit,file_relpath,file_sha256,symbol,symbol_kind,line_start,line_end,data_role,read_write_class,native_type,shape_or_dimension,coordinate_frame,units,lifecycle_stage,measurement_iteration_semantics,day3_extraction_candidate,confidence,notes
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","package.xml","193b7e780cc9d39d178bfb1c5f16d8153e85e92eaaca564dc3cf98cad7461da1","package","manifest","1","47","package_identity","READ","XML","package manifest","N/A","N/A","build metadata","not iteration-dependent","false","CONFIRMED","Frozen package metadata included in the minimal source snapshot."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","CMakeLists.txt","f2a70ec920c81dd65f0e98bb4335fab7ee5252e058ceb186f8d5dff66787f9fb","FAST_LIO build definition","build script","1","88","build_definition","READ","CMake","build graph","N/A","N/A","build metadata","not iteration-dependent","false","CONFIRMED","Read only for source identity; no build was run."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","config/avia.yaml","bdb1308999b9ab2f27017ea06a2cf0355146d39a6fec59857e3f20d7b01a4658","Avia runtime parameters","configuration","1","35","runtime_parameter_config","READ","YAML","parameter set","mixed","mixed","node startup","not iteration-dependent","false","CONFIRMED","Representative runtime config; the LiDAR measurement variance is not configured here and is a source constant."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","standard_pcl_cbk","function","279","298","lidar_callback","READ_WRITE","sensor_msgs::PointCloud2 callback","one scan message","LiDAR sensor frame","seconds and point units","input buffering","once per received standard scan","false","CONFIRMED","Preprocesses the message and pushes point cloud plus header timestamp into synchronized buffers."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","livox_pcl_cbk","function","302","334","lidar_callback","READ_WRITE","livox_ros_driver::CustomMsg callback","one scan message","LiDAR sensor frame","seconds and point units","input buffering","once per received Livox scan","false","CONFIRMED","Alternative LiDAR callback with the same lidar_buffer and time_buffer lifecycle."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","imu_cbk","function","336","364","imu_callback","READ_WRITE","sensor_msgs::Imu callback","one IMU message","IMU/body sensor frame","seconds; SI sensor units","input buffering","once per received IMU message","false","CONFIRMED","Applies configured time correction and pushes the IMU message into imu_buffer."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","sync_packages","function","368","424","measurement_sync","READ_WRITE","MeasureGroup","one LiDAR scan plus deque of IMUs","mixed LiDAR and IMU frames","seconds","scan assembly","once per synchronized scan","true","CONFIRMED","Defines begin/end times, gathers IMUs through scan end, pops one LiDAR scan, and returns one scan lifecycle unit."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/common_lib.h","8ba52138be2d523fbac056968614c00584dd8a6390866008a4de03f479ec1136","MeasureGroup","struct","55","66","lidar_timestamp","READ_WRITE","double lidar_beg_time; double lidar_end_time","two scalar timestamps","sensor clock after configured correction","seconds","scan assembly through publication","shared by every measurement call for the scan","true","CONFIRMED","sync_packages writes both timestamps; publishers use the global lidar_end_time."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","sync_packages return true boundary","derived lifecycle boundary","368","424","scan_sequence_identity","READ","no native synchronized-scan ID","scalar monotonic counter proposed","scan lifecycle","count","after successful synchronization","independent of measurement iteration count","true","DERIVABLE","scan_count is callback-global and is not carried with buffered scans; Day 3 must derive a scan_index incremented exactly once after sync_packages succeeds and never use it in estimation or random seeds."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/IMU_Processing.hpp","a456016e268680555919f58ae066354fd297a27f49be197292452f4147e1e0f5","ImuProcess::UndistortPcl","function","243","303","imu_propagation","READ_WRITE","esekfom state and 23x23 covariance","state DOF 23","world state with IMU/body tangent rotations","seconds and SI state units","pre-measurement propagation","once per synchronized scan before any LiDAR correction","false","CONFIRMED","predict is called across IMU intervals and once more to the LiDAR scan end."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/IMU_Processing.hpp","a456016e268680555919f58ae066354fd297a27f49be197292452f4147e1e0f5","ImuProcess::UndistortPcl backward compensation","function block","307","345","scan_undistortion","READ_WRITE","PointCloudXYZI","N points","LiDAR frame compensated to scan-end LiDAR frame","meters","pre-measurement scan preparation","once per synchronized scan","false","CONFIRMED","Uses the scan-end propagated state to compensate each point backward/forward into the scan-end LiDAR frame."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/IMU_Processing.hpp","a456016e268680555919f58ae066354fd297a27f49be197292452f4147e1e0f5","imu_state = kf_state.get_x()","state access","298","305","imu_propagated_prior_pose","READ","state_ikfom","position 3 plus SO3 orientation","position in world; right rotation tangent in IMU/body frame","meters and radians","after propagation and before LiDAR update","identical state used by first valid measurement linearization","true","CONFIRMED","The final predict reaches pcl_end_time; no LiDAR correction occurs before the update call."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/esekfom/esekfom.hpp","b990411209fe06ae64112c8bc807b0c2a13922fc1460ec2745c6701cc9344e85","esekf::get_P","const accessor","1944","1953","imu_propagated_prior_covariance","READ","const cov&","23x23","native error-state coordinates","mixed squared state units","immediately before LiDAR update candidate","filter copies P_ to P_propagated before first model call","true","CONFIRMED","Day 3 can copy get_P() before update; the API itself returns a const reference. Pose order is native [position 0:2, rotation 3:5]."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","downSizeFilterSurf.filter","call site","903","907","scan_downsample","READ_WRITE","pcl::VoxelGrid<PointType>","feats_down_size points","scan-end LiDAR frame","meters","pre-measurement scan preparation","once per update-invoked scan","false","CONFIRMED","Produces feats_down_body, the current point sequence used by correspondence construction."
