target_name,metric_name,control_set,coefficient,standardized_coefficient,residual_rho,n_samples,expected_sign_match,interpretation
axis_drift_rate,ODI_median,numeric_plus_group_controls,0.0858379203881,0.0610955956517,0.0221895295386,2700,true,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,ODI_median,numeric_controls_within_sequence,0.0715569488531,0.0715201348075,0.0235222638155,820,true,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,ODI_median,numeric_controls_within_sequence,nan,nan,nan,0,undefined,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,ODI_median,numeric_controls_within_sequence,0.0976464697345,0.0976137307872,0.0355129269179,980,true,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,ODI_median,numeric_controls_within_sequence,-0.166439448192,-0.166371043191,-0.0549021337469,900,false,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,AIS_median,numeric_plus_group_controls,-0.123517383156,-0.0879126524674,-0.02994388778,2700,true,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,AIS_median,numeric_controls_within_sequence,-0.181732480244,-0.181646898354,-0.0877575704593,820,true,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,AIS_median,numeric_controls_within_sequence,nan,nan,nan,0,undefined,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,AIS_median,numeric_controls_within_sequence,0.00547518347064,0.00547209064796,0.00448093906318,980,false,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,AIS_median,numeric_controls_within_sequence,-0.00275577200802,-0.00275409478406,-0.00221714944812,900,true,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,lambda_min_clamped_median,numeric_plus_group_controls,0.0450881492241,0.019404147485,0.0136075502029,2700,false,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,lambda_min_clamped_median,numeric_controls_within_sequence,0.185218082145,0.167996196896,0.086013035028,820,false,controlled least-squares coefficient; use with partial rho and permutation screen
axis_drift_rate,lambda_min_clamped_median,numeric_controls_within_sequence,nan,nan,nan,0,undefined,controlled least-squares coefficient; use with partial rho and permutation screen
