metric_name,target_name,control_set,scope,sequence_id,scene_family,partial_spearman_rho,abs_partial_spearman_rho,n_samples,expected_sign,observed_sign,expected_sign_match,effect_size_threshold,passes_effect_size,substantive_validity_status,interpretation
ODI_median,axis_drift_rate,numeric_plus_group_controls,merged_controlled,ALL,ALL,0.0221895295386,0.0221895295386,2700,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,ODI remains exploratory and is not validated for robust drift prediction.
ODI_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,CT-L2-S01-M2,CT,0.0235222638155,0.0235222638155,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,ODI remains exploratory and is not validated for robust drift prediction.
ODI_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,not enough samples after finite filtering and controls
ODI_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,RT-L4-S01-M1,RT,0.0355129269179,0.0355129269179,980,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,ODI remains exploratory and is not validated for robust drift prediction.
ODI_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,ST-L3-S01-M1,ST,-0.0549021337469,0.0549021337469,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,ODI remains exploratory and is not validated for robust drift prediction.
AIS_median,axis_drift_rate,numeric_plus_group_controls,merged_controlled,ALL,ALL,-0.02994388778,0.02994388778,2700,negative,negative,true,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
AIS_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,CT-L2-S01-M2,CT,-0.0877575704593,0.0877575704593,820,negative,negative,true,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
AIS_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,OC-L0-S01-M1,OC,nan,nan,0,negative,undefined,undefined,0.1,false,undefined_insufficient_samples,not enough samples after finite filtering and controls
AIS_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,RT-L4-S01-M1,RT,0.00448093906318,0.00448093906318,980,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
AIS_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,ST-L3-S01-M1,ST,-0.00221714944812,0.00221714944812,900,negative,negative,true,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
lambda_min_clamped_median,axis_drift_rate,numeric_plus_group_controls,merged_controlled,ALL,ALL,0.0136075502029,0.0136075502029,2700,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
lambda_min_clamped_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,CT-L2-S01-M2,CT,0.086013035028,0.086013035028,820,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
lambda_min_clamped_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,OC-L0-S01-M1,OC,nan,nan,0,negative,undefined,undefined,0.1,false,undefined_insufficient_samples,not enough samples after finite filtering and controls
lambda_min_clamped_median,axis_drift_rate,numeric_controls_within_sequence,within_sequence_controlled,RT-L4-S01-M1,RT,nan,nan,980,negative,undefined,undefined,0.1,false,undefined_singular_controls,control residualization is singular or removes usable variation
