feature_name,target_name,control_set,scope,partial_spearman_rho,abs_partial_spearman_rho,n_samples,expected_sign_match,passes_effect_size,permutation_p_value,passes_permutation,controlled_validity_status,interpretation
joint_risk_equal,axis_drift_rate,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,0.0203752991944,0.0203752991944,2700,true,false,0.308457711443,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_spectral,axis_drift_rate,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,0.0203752991945,0.0203752991945,2700,true,false,0.258706467662,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_information,axis_drift_rate,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,-0.00304096874715,0.00304096874715,2700,false,false,0.885572139303,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_odi_information,axis_drift_rate,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,0.0203752991943,0.0203752991943,2700,true,false,0.278606965174,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_no_odi,axis_drift_rate,risk_ODI+risk_weak_alignment,merged_controlled,-0.017527626947,0.017527626947,2700,false,false,0.328358208955,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_motion_aware,axis_drift_rate,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion,merged_controlled,-0.0164924757842,0.0164924757842,3440,false,false,0.587064676617,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_equal,weak_drift_alignment,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,0.046535439319,0.046535439319,2700,true,false,0.233830845771,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_spectral,weak_drift_alignment,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,0.0465354393187,0.0465354393187,2700,true,false,0.268656716418,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_information,weak_drift_alignment,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,0.0216267251498,0.0216267251498,2700,true,false,0.358208955224,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_odi_information,weak_drift_alignment,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion+risk_weak_alignment,merged_controlled,0.0465354393182,0.0465354393182,2700,true,false,0.26368159204,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_no_odi,weak_drift_alignment,risk_ODI+risk_weak_alignment,merged_controlled,-0.0898048102044,0.0898048102044,2700,false,false,0.124378109453,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
joint_risk_motion_aware,weak_drift_alignment,joint_risk_no_odi+risk_low_AIS+risk_low_lambda+risk_high_condition+risk_low_motion,merged_controlled,0.0436429361472,0.0436429361472,2700,true,false,0.597014925373,false,exploratory_small_or_wrong_sign,"controlled association is small, sign-mismatched, or permutation did not pass"
