sequence_id,scene_family,level,geometry_seed,sensor_seed,process_seed,final_translation_error,final_axis_error,final_cross_error,mean_axis_error,mean_cross_error,axis_drift_rate,trajectory_path,motion_path
OC-L0-G01,OC,L0,101,11,1001,0.0028266938445233613,0.0024737595971178195,0.0013677395754798293,0.0010727975825356386,0.001809322990567886,6.650642109974404e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_011/process_1001.npz
OC-L0-G01,OC,L0,101,11,1002,0.0028262721427335306,0.0024730083336628184,0.0013682265917697375,0.001072384996720413,0.0018092072189308508,6.64862235656937e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_011/process_1002.npz
OC-L0-G01,OC,L0,101,11,1003,0.0028256255664942226,0.002472265786272132,0.0013682330664232733,0.0010720796483710956,0.0018092879023309618,6.646626036089843e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_011/process_1003.npz
OC-L0-G01,OC,L0,101,11,1004,0.002792135132271955,0.002435945804464268,0.0013646195933593576,0.0010712718034059838,0.00180967389500529,6.548980654248246e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_011/process_1004.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_011/process_1004.npz
OC-L0-G01,OC,L0,101,11,1005,0.0028253397028065543,0.002471973502933267,0.0013681708362082794,0.001072464728385894,0.0018092699414910497,6.645840239489492e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_011/process_1005.npz
OC-L0-G01,OC,L0,101,22,1001,0.003373734793543352,0.0015868120052644485,0.002977266215358248,0.0010485688295447724,0.0018323354618811068,4.2661052250672834e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_022/process_1001.npz
OC-L0-G01,OC,L0,101,22,1002,0.003372312738852793,0.0015809774000956622,0.0029787587463598972,0.0010475522620232963,0.0018315948741943007,4.2504190319239336e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_022/process_1002.npz
OC-L0-G01,OC,L0,101,22,1003,0.0033721769638867453,0.0015783740030776983,0.002979985399658345,0.001046531329745339,0.0018323324991447452,4.2434198627820226e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_022/process_1003.npz
OC-L0-G01,OC,L0,101,22,1004,0.0033689783813035485,0.0015671761337134882,0.002982276697358835,0.0010484305367692635,0.0018328762396350666,4.213314665162021e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_022/process_1004.npz
OC-L0-G01,OC,L0,101,22,1005,0.0033748446981890436,0.0015886638806961173,0.002977536533959953,0.001047831486178552,0.001832317476701952,4.2710839468244954e-05,results/metric_redesign_stage1/trajectories/OC-L0-G01/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/OC-L0-G01/sensor_022/process_1005.npz
OC-L0-G02,OC,L0,202,11,1001,0.0012771363991805587,0.0012445579168627319,0.0002866234004511513,0.0009367297785271132,0.0016011867914619295,3.345963488058006e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_011/process_1001.npz
OC-L0-G02,OC,L0,202,11,1002,0.001274430840857965,0.0012416218532944612,0.0002873136640530128,0.00093758496091396,0.0016005115040043261,3.3380699530405155e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_011/process_1002.npz
OC-L0-G02,OC,L0,202,11,1003,0.00127691559212507,0.0012436156488835337,0.00028971287038049583,0.0009367547042292729,0.001600314924502954,3.343430223666172e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_011/process_1003.npz
OC-L0-G02,OC,L0,202,11,1004,0.0012712469470766712,0.001237119015627286,0.0002925839052735669,0.0009363266273649547,0.0016005211737353748,3.3259641842186036e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_011/process_1004.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_011/process_1004.npz
OC-L0-G02,OC,L0,202,11,1005,0.0012835393792860145,0.0012499625921602586,0.00029166222994747603,0.0009368431711042375,0.0016016363088377534,3.360493825268764e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_011/process_1005.npz
OC-L0-G02,OC,L0,202,22,1001,0.0018864274928529297,0.0005755042723549764,0.001796497569798679,0.0011085377870611488,0.0020682805211809465,1.5472291457316944e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_022/process_1001.npz
OC-L0-G02,OC,L0,202,22,1002,0.0018860954696517413,0.0005812951181489723,0.0017942831733750934,0.0011088722875113922,0.0020674015682044075,1.5627976928673128e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_022/process_1002.npz
OC-L0-G02,OC,L0,202,22,1003,0.001885616248582948,0.0005817506785259496,0.001793631730583128,0.0011101816164217266,0.0020669133850516903,1.5640224557869962e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_022/process_1003.npz
OC-L0-G02,OC,L0,202,22,1004,0.0018860463300058759,0.0005832628203492618,0.0017935928304180016,0.0011106418284566766,0.002067352024057615,1.56808781205609e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_022/process_1004.npz
OC-L0-G02,OC,L0,202,22,1005,0.001885482121873052,0.000569249279193329,0.0017974977301907177,0.001109452426304323,0.0020673419644952327,1.5304127497622063e-05,results/metric_redesign_stage1/trajectories/OC-L0-G02/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/OC-L0-G02/sensor_022/process_1005.npz
OC-L0-G03,OC,L0,303,11,1001,0.0009303788054932575,0.00022173318979490375,0.0009035702043861549,0.001080282964984744,0.0017624959967587643,5.9612425190672175e-06,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_011/process_1001.npz
OC-L0-G03,OC,L0,303,11,1002,0.0009336800799407363,0.0002209554999197394,0.0009071588387561232,0.0010790383058555185,0.0017619582664668851,5.9403345171809596e-06,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_011/process_1002.npz
OC-L0-G03,OC,L0,303,11,1003,0.0009373166939865093,0.00022400924330945315,0.0009101551756363997,0.0010783731550800396,0.0017612868354816812,6.0224336605429454e-06,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_011/process_1003.npz
OC-L0-G03,OC,L0,303,11,1004,0.0009635090516780238,0.00024834025793651904,0.0009309547835171738,0.001079249929213625,0.0017630898673426368,6.676567031650229e-06,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_011/process_1004.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_011/process_1004.npz
OC-L0-G03,OC,L0,303,11,1005,0.0009449118782651406,0.00023749650044280202,0.0009145785203928518,0.001080102079710236,0.0017629438173329627,6.385035266388602e-06,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_011/process_1005.npz
OC-L0-G03,OC,L0,303,22,1001,0.002833837612231195,0.002340320927046946,0.001597977963215489,0.0011097019182738338,0.0018877548953796,6.291895512566028e-05,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_022/process_1001.npz
OC-L0-G03,OC,L0,303,22,1002,0.002831468953053586,0.002336880879749259,0.0015988133680854375,0.001110395301819069,0.0018878356192955563,6.282647029631407e-05,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_022/process_1002.npz
OC-L0-G03,OC,L0,303,22,1003,0.0028330622686191832,0.0023383575811788404,0.0015994766770469388,0.0011085169726966187,0.0018881495856179777,6.286617105269668e-05,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_022/process_1003.npz
OC-L0-G03,OC,L0,303,22,1004,0.002819711000768974,0.00232180812154148,0.0015999928670470986,0.0011094818932329284,0.0018885191171078334,6.242124288227224e-05,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_022/process_1004.npz
OC-L0-G03,OC,L0,303,22,1005,0.0028359610769650664,0.0023427740520105544,0.0015981504845561031,0.0011088141880256446,0.001888456307686182,6.298490678969026e-05,results/metric_redesign_stage1/trajectories/OC-L0-G03/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/OC-L0-G03/sensor_022/process_1005.npz
ST-L1-G01,ST,L1,101,11,1001,0.03226062309197777,0.032203110616581654,0.0019254788752035353,0.007698407844973988,0.0022865486267674238,0.0010734370205527216,results/metric_redesign_stage1/trajectories/ST-L1-G01/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/ST-L1-G01/sensor_011/process_1001.npz
ST-L1-G01,ST,L1,101,11,1002,0.03227355959016178,0.03221606071589633,0.0019256377046071734,0.007698833400289449,0.0022865542174782864,0.0010738686905298776,results/metric_redesign_stage1/trajectories/ST-L1-G01/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/ST-L1-G01/sensor_011/process_1002.npz
ST-L1-G01,ST,L1,101,11,1003,0.032278295803031584,0.0322208294914752,0.0019252342271236752,0.0076984988372334915,0.0022865421490773736,0.00107402764971584,results/metric_redesign_stage1/trajectories/ST-L1-G01/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/ST-L1-G01/sensor_011/process_1003.npz
