sequence_id,scene_family,level,geometry_seed,sensor_seed,process_trial_count,axis_drift_rate_median,axis_drift_rate_mean,axis_drift_rate_iqr,axis_drift_rate_mad,final_axis_error_median,ODI_median,ODI_trans_median,AIS_trans_normalized_median,lambda_min_trans_normalized_median,condition_number_trans_median,weak_trans_subspace_alignment_median,lambda_min_median,condition_number_median,weak_trans_subspace_dim_median
OC-L0-G01,OC,L0,101,11,5,6.646626036089843e-05,6.62814227927427e-05,2.7821170798776954e-08,1.9963204795262032e-08,0.002472265786272132,0.529999616304179,0.06400057423787486,5.28465885320087,124.36790899018288,2.0420883611383998,0.0,2501.323352137193,65.2604961063437,0.0
OC-L0-G01,OC,L0,101,22,5,4.2504190319239336e-05,4.248868546351951e-05,2.2685362285260728e-07,1.5686193143349728e-07,0.0015809774000956622,0.5306228157601401,0.06371847864948987,5.285126838502247,124.7459188336928,2.0419566488175134,0.0,2449.057034675574,67.13427839355676,0.0
OC-L0-G02,OC,L0,202,11,5,3.343430223666172e-05,3.342784334850412e-05,7.893535017490543e-08,5.3602706256567205e-08,0.0012436156488835337,0.5282381265348215,0.062287126435656814,5.2859835392425705,125.86460869207849,2.025579306840389,0.0,2468.253569863684,66.30975984746885,0.0
OC-L0-G02,OC,L0,202,22,5,1.5627976928673128e-05,1.55450997124086e-05,1.679331005530184e-07,5.290119188777241e-08,0.0005812951181489723,0.528574862573133,0.06121101190461997,5.2878478958152595,126.42242705348555,2.0143891340601154,0.0,2499.6028278295735,65.51197847350245,0.0
OC-L0-G03,OC,L0,303,11,5,6.0224336605429454e-06,6.197122598965991e-06,4.2379274732138476e-07,8.209914336198587e-08,0.00022400924330945315,0.5290975887466791,0.06022176006257918,5.288765670531898,127.28206362109935,2.0038502965193468,0.0,2476.901528689346,65.71703752435727,0.0
OC-L0-G03,OC,L0,303,22,5,6.286617105269668e-05,6.28035492293267e-05,9.248482934621062e-08,5.2784072963597784e-08,0.0023383575811788404,0.5280040357464255,0.06084118674861971,5.287789696633233,127.01601871900249,2.0013097776834297,0.0,2450.2354807708957,66.12323209501969,0.0
ST-L1-G01,ST,L1,101,11,5,0.0010738686905298776,0.0010739427930998126,5.522969422837136e-07,3.9333775632140015e-07,0.03221606071589633,0.7077634445003025,0.4858059174942032,4.334352200412786,7.214383289019907,51.93627059530383,0.9969678527196032,2052.3035330823013,128.05404709003392,1.0
ST-L1-G01,ST,L1,101,22,5,0.00032819420719825125,0.00032831916844079006,4.860535283294555e-07,3.262192153148831e-07,0.00984582621594754,0.7061102859161215,0.48832368059349573,4.327432523357046,7.094042051006955,52.54261242773195,0.996461449020517,2032.9487583696525,130.61634203847723,1.0
ST-L1-G02,ST,L1,202,11,5,0.0008066647886492953,0.0008068577112392225,1.946774157582723e-07,9.818005845352393e-08,0.024199943659478862,0.7127433176637233,0.4972940192500129,4.224191731237529,4.608744909121508,80.50336251414218,0.9982787798584221,1692.039894526808,136.74296525497016,1.0
ST-L1-G02,ST,L1,202,22,5,0.00014091400538044732,0.00014072997851137357,1.560765767294578e-07,8.192141756068762e-08,0.00422742016141342,0.7090930089981946,0.49328921664424397,4.22586005037488,4.513131591952272,80.73297027601043,0.9982171007258742,1737.5798739649722,136.97191366550652,1.0
ST-L1-G03,ST,L1,303,11,5,0.0008784478988844785,0.0008786959035271023,4.400956944055137e-08,2.308221465818685e-08,0.02635343696653436,0.7142644743686273,0.4947604132519169,4.285842701155254,4.819421066632554,67.96020381981792,0.9981180135232341,1653.8524172915031,136.7031845662193,1.0
ST-L1-G03,ST,L1,303,22,5,2.4017971456539534e-05,2.3912481237881404e-05,1.3042644143960517e-07,1.1871930875410536e-07,0.0007205391436961861,0.7115337191617189,0.4856084557846363,4.277425058877624,4.865465594143811,67.41738282527825,0.9977457009688805,1740.2607437912636,138.4474608340413,1.0
ST-L2-G01,ST,L2,101,11,5,0.000622213921508082,0.0006222633185632039,7.700881383243107e-07,4.857511228806288e-07,0.01866641764524246,0.713186995265947,0.5001708951855699,4.233736684576657,4.211136825873863,88.62422045581792,0.9993274423338946,1958.9057257501818,121.65744250737971,1.0
ST-L2-G01,ST,L2,101,22,5,0.00010346388004194295,0.00010313164630981456,6.980885505214474e-07,4.105447237871319e-07,0.0031039164012582887,0.7139952660187305,0.5034075668553494,4.248768468885057,4.231881237504195,88.06546265060474,0.9993418576929185,2057.0734413176547,117.3421282515932,1.0
ST-L2-G02,ST,L2,202,11,5,0.0001372435465109826,0.000137361031324185,4.0258228821697965e-07,2.0604000319223727e-07,0.004117306395329479,0.7156699221024969,0.5037240752364373,4.1291999089765286,2.8685002889222595,133.80652275994282,0.9994708660649083,1533.5103344025918,158.40213883911144,1.0
ST-L2-G02,ST,L2,202,22,5,5.1408899732644874e-05,5.106720444724524e-05,3.632295824710724e-07,3.107923104058371e-07,0.0015422669919793464,0.7159630434109697,0.5068053577204832,4.133499263310985,2.89498737028532,133.65281353153472,0.9995127357811942,1557.99918917699,154.10083753303763,1.0
ST-L2-G03,ST,L2,303,11,5,0.00025496952825487064,0.00025500304911389547,6.096670386313008e-07,4.233287692538383e-07,0.00764908584764612,0.7174603953474292,0.5031580019299977,4.191443832548833,3.197919633955477,103.82857597789442,0.9993967650937495,1634.3358981673198,142.39219710179566,1.0
ST-L2-G03,ST,L2,303,22,5,7.33187835477859e-05,7.309292301224937e-05,6.389001202459609e-07,3.55853170693374e-07,0.0021995635064335772,0.716560191389021,0.5101253959646107,4.185625654700401,3.190243980488434,108.16585173572435,0.9994628275696482,1652.5703880531391,145.75314055746387,1.0
ST-L3-G01,ST,L3,101,11,5,0.0005602728215730934,0.0005605970824598453,8.518631778050125e-07,1.356232438355122e-07,0.016808184647192803,0.7242378834582877,0.5177668579107854,3.8903403721717416,1.399932821220915,266.1098936730442,0.9999303062802578,854.0466422025308,295.6202474426601,1.0
ST-L3-G01,ST,L3,101,22,5,0.0010223651671129373,0.0010226024855023988,1.20910251103141e-06,4.3865818971275915e-07,0.030670955013388124,0.7233345410408847,0.515676815114051,3.9094755347045522,1.4425823083543499,256.5116746209518,0.9999295713156128,879.6461998549959,284.927669810158,1.0
ST-L3-G02,ST,L3,202,11,5,0.0003793469321224781,0.0003795458362946391,6.384447393277927e-07,1.078429304375854e-07,0.011380407963674344,0.7274880098822927,0.5202341852327996,3.7993905523088536,1.0794135138799552,341.2801715526713,0.9999376339884839,668.2947479066161,390.80280485739706,1.0
ST-L3-G02,ST,L3,202,22,5,0.0009961756718939322,0.0009963184563221953,7.963764674676164e-07,3.7030529931314504e-07,0.029885270156817967,0.7247902952741874,0.5186153947896394,3.8153228180648684,1.0716510624173599,328.363025300965,0.9999370872336776,676.4633078415368,372.02838335456295,1.0
ST-L3-G03,ST,L3,303,11,5,0.000431443695330221,0.00043166727948441044,6.43775363329247e-07,1.1541833977446458e-07,0.012943310859906632,0.7266298588460758,0.5198870001598482,3.853401059208834,1.1934809814241976,272.1107266026082,0.9999419831854072,745.0300072324709,335.8532556189354,1.0
ST-L3-G03,ST,L3,303,22,5,0.0010808245424654452,0.00108101464430554,1.0359977533624942e-06,4.7391528295746485e-07,0.03242473627396336,0.7245829539138491,0.5172651214594389,3.874048237794999,1.221417105038197,272.29722376745906,0.9999471255067156,764.3596239810915,318.24449138192495,1.0
