sweep_type,split,metric_name,target,expected_direction,rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_method,bootstrap_blocks,bootstrap_repetitions,independent_sensor_runs
geometry,train,mean_inverse_axis_information,mean_final_axis_error_squared,positive,0.4721739130434783,0.2142857142857143,0.9047619047619048,geometry_seed_block_percentile,3,5000,24
geometry,train,harmonic_axis_information,mean_final_axis_error_squared,negative,-0.4721739130434783,-0.9047619047619048,-0.2142857142857143,geometry_seed_block_percentile,3,5000,24
geometry,train,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,3,5000,24
geometry,train,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,3,5000,24
geometry,train,ODI_trans_median,mean_final_axis_error_squared,positive,0.4652173913043478,0.2380952380952381,0.9047619047619048,geometry_seed_block_percentile,3,5000,24
geometry,train,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,-0.47478260869565214,-0.9057591623036649,-0.2380952380952381,geometry_seed_block_percentile,3,5000,24
geometry,train,condition_number_trans_median,mean_final_axis_error_squared,positive,0.4660869565217391,0.2380952380952381,0.9047619047619048,geometry_seed_block_percentile,3,5000,24
geometry,train,axis_information_normalized_median,mean_final_axis_error_squared,negative,-0.44434782608695644,-0.8917975567190227,-0.18062827225130892,geometry_seed_block_percentile,3,5000,24
geometry,test,mean_inverse_axis_information,mean_final_axis_error_squared,positive,0.5794117647058823,0.5238095238095238,0.9523809523809523,geometry_seed_block_percentile,2,5000,16
geometry,test,harmonic_axis_information,mean_final_axis_error_squared,negative,-0.5794117647058823,-0.9523809523809523,-0.5238095238095238,geometry_seed_block_percentile,2,5000,16
geometry,test,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,2,5000,16
geometry,test,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,2,5000,16
geometry,test,ODI_trans_median,mean_final_axis_error_squared,positive,0.8294117647058824,0.761904761904762,0.9761904761904762,geometry_seed_block_percentile,2,5000,16
geometry,test,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,-0.8205882352941177,-1.0,-0.6428571428571429,geometry_seed_block_percentile,2,5000,16
geometry,test,condition_number_trans_median,mean_final_axis_error_squared,positive,0.8294117647058824,0.6904761904761905,0.9761904761904762,geometry_seed_block_percentile,2,5000,16
geometry,test,axis_information_normalized_median,mean_final_axis_error_squared,negative,-0.5794117647058823,-0.9523809523809523,-0.5238095238095238,geometry_seed_block_percentile,2,5000,16
