sweep_type,split,metric_name,target,expected_direction,rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_method,bootstrap_blocks,bootstrap_repetitions,independent_sensor_runs
observation,train,mean_inverse_axis_information,mean_final_axis_error_squared,positive,0.5017391304347826,0.2142857142857143,0.8571428571428572,geometry_seed_block_percentile,3,5000,24
observation,train,harmonic_axis_information,mean_final_axis_error_squared,negative,-0.5017391304347826,-0.8571428571428572,-0.2142857142857143,geometry_seed_block_percentile,3,5000,24
observation,train,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,3,5000,24
observation,train,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,3,5000,24
observation,train,ODI_trans_median,mean_final_axis_error_squared,positive,0.5808695652173912,0.2380952380952381,0.9523809523809524,geometry_seed_block_percentile,3,5000,24
observation,train,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,-0.5417391304347825,-0.9523809523809524,-0.14285714285714285,geometry_seed_block_percentile,3,5000,24
observation,train,condition_number_trans_median,mean_final_axis_error_squared,positive,0.5599999999999999,0.2142857142857143,0.9761904761904762,geometry_seed_block_percentile,3,5000,24
observation,train,axis_information_normalized_median,mean_final_axis_error_squared,negative,-0.4782608695652173,-0.8095238095238095,-0.2142857142857143,geometry_seed_block_percentile,3,5000,24
observation,test,mean_inverse_axis_information,mean_final_axis_error_squared,positive,0.6235294117647059,0.5476190476190476,0.6904761904761905,geometry_seed_block_percentile,2,5000,16
observation,test,harmonic_axis_information,mean_final_axis_error_squared,negative,-0.6235294117647059,-0.6904761904761905,-0.5476190476190476,geometry_seed_block_percentile,2,5000,16
observation,test,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,2,5000,16
observation,test,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,nan,nan,geometry_seed_block_percentile,2,5000,16
observation,test,ODI_trans_median,mean_final_axis_error_squared,positive,0.6911764705882353,0.40476190476190477,0.9047619047619047,geometry_seed_block_percentile,2,5000,16
observation,test,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,-0.6764705882352942,-0.9047619047619047,-0.35714285714285715,geometry_seed_block_percentile,2,5000,16
observation,test,condition_number_trans_median,mean_final_axis_error_squared,positive,0.7176470588235294,0.47619047619047616,0.9523809523809523,geometry_seed_block_percentile,2,5000,16
observation,test,axis_information_normalized_median,mean_final_axis_error_squared,negative,-0.6323529411764706,-0.6904761904761905,-0.5476190476190476,geometry_seed_block_percentile,2,5000,16
