sweep_type,split,field,kind,risk_direction,metric_monotonic_pair_rate,target_monotonic_pair_rate,median_group_kendall_tau,positive_tau_group_ratio,paired_group_count
geometry,train,mean_inverse_axis_information,metric,1,1.0,nan,1.0,1.0,6
geometry,train,axis_information_normalized_median,mechanism_metric,-1,1.0,nan,1.0,1.0,6
geometry,train,ODI_trans_median,baseline_metric,1,1.0,nan,1.0,1.0,6
geometry,train,mean_final_axis_error_squared,target,1,nan,0.7222222222222222,0.6666666666666669,0.8333333333333334,6
geometry,test,mean_inverse_axis_information,metric,1,0.8333333333333334,nan,0.8333333333333335,1.0,4
geometry,test,axis_information_normalized_median,mechanism_metric,-1,0.8333333333333334,nan,0.8333333333333335,1.0,4
geometry,test,ODI_trans_median,baseline_metric,1,0.5833333333333334,nan,0.5000000000000001,0.75,4
geometry,test,mean_final_axis_error_squared,target,1,nan,0.6666666666666666,0.6666666666666669,1.0,4
observation,train,mean_inverse_axis_information,metric,1,1.0,nan,1.0,1.0,6
observation,train,axis_information_normalized_median,mechanism_metric,-1,1.0,nan,1.0,1.0,6
observation,train,ODI_trans_median,baseline_metric,1,0.8333333333333334,nan,0.8333333333333335,1.0,6
observation,train,mean_final_axis_error_squared,target,1,nan,0.7777777777777778,0.6666666666666669,0.8333333333333334,6
observation,test,mean_inverse_axis_information,metric,1,1.0,nan,1.0,1.0,4
observation,test,axis_information_normalized_median,mechanism_metric,-1,1.0,nan,1.0,1.0,4
observation,test,ODI_trans_median,baseline_metric,1,0.6666666666666666,nan,0.6666666666666669,1.0,4
observation,test,mean_final_axis_error_squared,target,1,nan,0.5833333333333334,0.5000000000000001,1.0,4
