sweep_type,split,metric_name,target,expected_direction,within_level_residual_spearman,train_level_medians_frozen,independent_sensor_runs
geometry,train,mean_inverse_axis_information,mean_final_axis_error_squared,positive,-0.27304347826086955,True,24
geometry,train,harmonic_axis_information,mean_final_axis_error_squared,negative,0.2069565217391304,True,24
geometry,train,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,True,24
geometry,train,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,True,24
geometry,train,ODI_trans_median,mean_final_axis_error_squared,positive,-0.3,True,24
geometry,train,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,0.2826086956521739,True,24
geometry,train,condition_number_trans_median,mean_final_axis_error_squared,positive,-0.3208695652173913,True,24
geometry,train,axis_information_normalized_median,mean_final_axis_error_squared,negative,0.3426086956521739,True,24
geometry,test,mean_inverse_axis_information,mean_final_axis_error_squared,positive,-0.3941176470588235,True,16
geometry,test,harmonic_axis_information,mean_final_axis_error_squared,negative,0.0823529411764706,True,16
geometry,test,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,True,16
geometry,test,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,True,16
geometry,test,ODI_trans_median,mean_final_axis_error_squared,positive,0.0411764705882353,True,16
geometry,test,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,-0.2058823529411765,True,16
geometry,test,condition_number_trans_median,mean_final_axis_error_squared,positive,0.0588235294117647,True,16
geometry,test,axis_information_normalized_median,mean_final_axis_error_squared,negative,0.06470588235294117,True,16
observation,train,mean_inverse_axis_information,mean_final_axis_error_squared,positive,0.3521739130434782,True,24
observation,train,harmonic_axis_information,mean_final_axis_error_squared,negative,-0.16347826086956518,True,24
observation,train,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,True,24
observation,train,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,True,24
observation,train,ODI_trans_median,mean_final_axis_error_squared,positive,0.5460869565217391,True,24
observation,train,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,-0.24434782608695652,True,24
observation,train,condition_number_trans_median,mean_final_axis_error_squared,positive,0.4234782608695652,True,24
observation,train,axis_information_normalized_median,mean_final_axis_error_squared,negative,-0.07652173913043478,True,24
observation,test,mean_inverse_axis_information,mean_final_axis_error_squared,positive,0.7823529411764706,True,16
observation,test,harmonic_axis_information,mean_final_axis_error_squared,negative,0.5264705882352941,True,16
observation,test,low_axis_information_ratio,mean_final_axis_error_squared,positive,nan,True,16
observation,test,longest_low_information_duration_s,mean_final_axis_error_squared,positive,nan,True,16
observation,test,ODI_trans_median,mean_final_axis_error_squared,positive,0.611764705882353,True,16
observation,test,lambda_min_trans_normalized_median,mean_final_axis_error_squared,negative,-0.21176470588235297,True,16
observation,test,condition_number_trans_median,mean_final_axis_error_squared,positive,0.8647058823529412,True,16
observation,test,axis_information_normalized_median,mean_final_axis_error_squared,negative,0.5117647058823529,True,16
