experiment_family,geometry_seed,sensor_seed,level,process_seed,process_noise_seed_resolved,process_noise_checksum
stage1c_open_control,101,11,OC,1001,16723856003146430177,7b8ec801eab5672010226c4f6058fb0a342d9bcdc8218eeaff50311ffa91aec5
stage1c_open_control,101,11,OC,1002,1697932063559757454,8039c81c240130e84b901f429887d0cafa22dc3b2b366ccd1998f368380b5fef
stage1c_open_control,101,11,OC,1003,8454099827782692381,402a0cde726b34dbacc35e42d9602bbf81b84783e34ea652dac536b9dc0eabd7
stage1c_geometry,101,11,L1,1001,5298716704492741094,9bf042032fb0db5f9f19a535a3a50e6f28ccd086bc122f3d2299ca127140a633
stage1c_geometry,101,11,L1,1002,13119284158483706132,afea8ed5e2aee71dbda34712d3a477ee26854716481d1ef4bef9c795b66f0c73
stage1c_geometry,101,11,L1,1003,1459477216484999267,6182a21719ea9ea60d3c1f9ad31497242822f616dc4268e2292ed1650d32b57b
stage1c_geometry,101,11,L2,1001,5298716704492741094,9bf042032fb0db5f9f19a535a3a50e6f28ccd086bc122f3d2299ca127140a633
stage1c_geometry,101,11,L2,1002,13119284158483706132,afea8ed5e2aee71dbda34712d3a477ee26854716481d1ef4bef9c795b66f0c73
stage1c_geometry,101,11,L2,1003,1459477216484999267,6182a21719ea9ea60d3c1f9ad31497242822f616dc4268e2292ed1650d32b57b
stage1c_geometry,101,11,L3,1001,5298716704492741094,9bf042032fb0db5f9f19a535a3a50e6f28ccd086bc122f3d2299ca127140a633
stage1c_geometry,101,11,L3,1002,13119284158483706132,afea8ed5e2aee71dbda34712d3a477ee26854716481d1ef4bef9c795b66f0c73
stage1c_geometry,101,11,L3,1003,1459477216484999267,6182a21719ea9ea60d3c1f9ad31497242822f616dc4268e2292ed1650d32b57b
stage1c_geometry,101,11,L4,1001,5298716704492741094,9bf042032fb0db5f9f19a535a3a50e6f28ccd086bc122f3d2299ca127140a633
stage1c_geometry,101,11,L4,1002,13119284158483706132,afea8ed5e2aee71dbda34712d3a477ee26854716481d1ef4bef9c795b66f0c73
stage1c_geometry,101,11,L4,1003,1459477216484999267,6182a21719ea9ea60d3c1f9ad31497242822f616dc4268e2292ed1650d32b57b
stage1c_observation,101,11,O1,1001,945371169892452128,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8
stage1c_observation,101,11,O1,1002,3798217740690397435,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee
stage1c_observation,101,11,O1,1003,10057915280879369222,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3
stage1c_observation,101,11,O2,1001,945371169892452128,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8
stage1c_observation,101,11,O2,1002,3798217740690397435,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee
stage1c_observation,101,11,O2,1003,10057915280879369222,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3
stage1c_observation,101,11,O3,1001,945371169892452128,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8
stage1c_observation,101,11,O3,1002,3798217740690397435,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee
stage1c_observation,101,11,O3,1003,10057915280879369222,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3
stage1c_observation,101,11,O4,1001,945371169892452128,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8
stage1c_observation,101,11,O4,1002,3798217740690397435,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee
stage1c_observation,101,11,O4,1003,10057915280879369222,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3
