backend,median_translation_update_m,scene_gate_pass,scene_variant,trial_count
Open3D,1.0850400503708894e-08,True,END_FACE_TRANSITION_ABSENT,30
Open3D,5.255004826198459e-10,True,END_FACE_TRANSITION_PRESENT,30
Open3D,1.1559154371229333e-09,True,END_FACE_TRANSITION_WEAK,30
Open3D,2.828105517656277e-10,True,GEOMETRY_RICH_ROOM,30
Open3D,4.069632648894821e-08,True,LONG_CORRIDOR,30
Open3D,3.5837092792225e-08,True,PARALLEL_WALLS,30
Open3D,1.1022531289170821e-09,True,REPEATED_STRUCTURE,30
PCL,4.604519874905222e-08,True,END_FACE_TRANSITION_ABSENT,30
PCL,2.6255636309411045e-09,True,END_FACE_TRANSITION_PRESENT,30
PCL,2.5947251892948437e-08,True,END_FACE_TRANSITION_WEAK,30
PCL,3.057019648635817e-09,True,GEOMETRY_RICH_ROOM,30
PCL,7.028798873740563e-08,True,LONG_CORRIDOR,30
PCL,4.312270140882217e-08,True,PARALLEL_WALLS,30
PCL,1.150437764137453e-08,True,REPEATED_STRUCTURE,30
