backend,backend_consistency_pass,backend_schema_name,condition,direction_pass,direction_success_count,geometry_seed,rich_translation_update_m,weak_scene,weak_translation_update_m
Open3D,True,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,True,3,1850310744,0.0008738429644161413,LONG_CORRIDOR,0.11010281017453698
Open3D,True,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,True,3,1957656152,0.0006396775778417788,LONG_CORRIDOR,0.007053587838090824
Open3D,True,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,True,3,1334931069,0.00111681403164967,LONG_CORRIDOR,0.04675783280602162
PCL,True,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,True,3,1850310744,0.0008878159128543235,LONG_CORRIDOR,0.09918486396669692
PCL,True,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,True,3,1957656152,0.0006390260886632767,LONG_CORRIDOR,0.00899904226765225
PCL,True,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,True,3,1334931069,0.0011151226986853555,LONG_CORRIDOR,0.005580800191100977
Open3D,True,open3d_point_to_plane,FULL_NOISE,True,3,1850310744,0.000875151134750623,LONG_CORRIDOR,0.11042560678932506
Open3D,True,open3d_point_to_plane,FULL_NOISE,True,3,1957656152,0.000690646459310411,LONG_CORRIDOR,0.10138682791382841
Open3D,True,open3d_point_to_plane,FULL_NOISE,True,3,1334931069,0.0010718805479165796,LONG_CORRIDOR,0.003924015288865954
PCL,True,pcl_point_to_plane,FULL_NOISE,True,3,1850310744,0.000888222638007706,LONG_CORRIDOR,0.10023363660854462
PCL,True,pcl_point_to_plane,FULL_NOISE,True,3,1957656152,0.0006923289848866538,LONG_CORRIDOR,0.017109531094413155
PCL,True,pcl_point_to_plane,FULL_NOISE,True,3,1334931069,0.0010928786341043543,LONG_CORRIDOR,0.004857989611826045
