backend,backend_schema_name,condition,is_tied,rich_lowest_two_pass,scene_variant,translation_median_m,translation_rank_ascending_average_ties,weak_highest_three_pass
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,GEOMETRY_RICH_ROOM,0.0008738429644161413,1.0,True
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,LONG_CORRIDOR,0.04675783280602162,6.0,True
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,PARALLEL_WALLS,0.0009813952008182192,3.0,True
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,END_FACE_TRANSITION_PRESENT,0.0009608817304926227,2.0,True
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,END_FACE_TRANSITION_WEAK,0.0033043205287298038,4.0,True
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,END_FACE_TRANSITION_ABSENT,0.11191654395713936,7.0,True
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,REPEATED_STRUCTURE,0.012397932069950487,5.0,True
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,GEOMETRY_RICH_ROOM,0.0008878159128543235,1.0,True
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,LONG_CORRIDOR,0.00899904226765225,5.0,True
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,PARALLEL_WALLS,0.0032911520072346225,4.0,True
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,END_FACE_TRANSITION_PRESENT,0.0009573158249047623,2.0,True
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,END_FACE_TRANSITION_WEAK,0.001136419930418025,3.0,True
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,END_FACE_TRANSITION_ABSENT,0.1104622021013732,7.0,True
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,False,True,REPEATED_STRUCTURE,0.011924943945291944,6.0,True
Open3D,open3d_point_to_plane,FULL_NOISE,False,True,GEOMETRY_RICH_ROOM,0.000875151134750623,1.0,True
Open3D,open3d_point_to_plane,FULL_NOISE,False,True,LONG_CORRIDOR,0.10138682791382841,6.0,True
Open3D,open3d_point_to_plane,FULL_NOISE,False,True,PARALLEL_WALLS,0.0033317340948026764,4.0,True
Open3D,open3d_point_to_plane,FULL_NOISE,False,True,END_FACE_TRANSITION_PRESENT,0.0009216850343108852,2.0,True
Open3D,open3d_point_to_plane,FULL_NOISE,False,True,END_FACE_TRANSITION_WEAK,0.0032446795674519243,3.0,True
Open3D,open3d_point_to_plane,FULL_NOISE,False,True,END_FACE_TRANSITION_ABSENT,0.10927189878832588,7.0,True
Open3D,open3d_point_to_plane,FULL_NOISE,False,True,REPEATED_STRUCTURE,0.012316765966910406,5.0,True
PCL,pcl_point_to_plane,FULL_NOISE,False,True,GEOMETRY_RICH_ROOM,0.000888222638007706,1.0,True
PCL,pcl_point_to_plane,FULL_NOISE,False,True,LONG_CORRIDOR,0.017109531094413155,6.0,True
PCL,pcl_point_to_plane,FULL_NOISE,False,True,PARALLEL_WALLS,0.0032259012650381483,4.0,True
PCL,pcl_point_to_plane,FULL_NOISE,False,True,END_FACE_TRANSITION_PRESENT,0.0009272910428723053,2.0,True
PCL,pcl_point_to_plane,FULL_NOISE,False,True,END_FACE_TRANSITION_WEAK,0.002018154062315402,3.0,True
PCL,pcl_point_to_plane,FULL_NOISE,False,True,END_FACE_TRANSITION_ABSENT,0.10343813928851307,7.0,True
PCL,pcl_point_to_plane,FULL_NOISE,False,True,REPEATED_STRUCTURE,0.012342644517199805,5.0,True
