condition,geometry_seed_index,geometry_seed_value,measurement_seed_index,measurement_seed_value,repeat_index,scene_variant,snapshot_id
INDEPENDENT_NOISE_FREE,0,1850310744,0,217775206,0,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE
FULL_NOISE,0,1850310744,0,217775206,0,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE
INDEPENDENT_NOISE_FREE,1,1957656152,0,217775206,0,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE
FULL_NOISE,1,1957656152,0,217775206,0,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/FULL_NOISE
INDEPENDENT_NOISE_FREE,2,1334931069,0,217775206,0,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE
FULL_NOISE,2,1334931069,0,217775206,0,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/FULL_NOISE
INDEPENDENT_NOISE_FREE,0,1850310744,0,217775206,0,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g0/INDEPENDENT_NOISE_FREE
FULL_NOISE,0,1850310744,0,217775206,0,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g0/FULL_NOISE
INDEPENDENT_NOISE_FREE,1,1957656152,0,217775206,0,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g1/INDEPENDENT_NOISE_FREE
FULL_NOISE,1,1957656152,0,217775206,0,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g1/FULL_NOISE
INDEPENDENT_NOISE_FREE,2,1334931069,0,217775206,0,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g2/INDEPENDENT_NOISE_FREE
FULL_NOISE,2,1334931069,0,217775206,0,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g2/FULL_NOISE
INDEPENDENT_NOISE_FREE,0,1850310744,0,217775206,0,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g0/INDEPENDENT_NOISE_FREE
FULL_NOISE,0,1850310744,0,217775206,0,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g0/FULL_NOISE
INDEPENDENT_NOISE_FREE,1,1957656152,0,217775206,0,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g1/INDEPENDENT_NOISE_FREE
FULL_NOISE,1,1957656152,0,217775206,0,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g1/FULL_NOISE
INDEPENDENT_NOISE_FREE,2,1334931069,0,217775206,0,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g2/INDEPENDENT_NOISE_FREE
FULL_NOISE,2,1334931069,0,217775206,0,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g2/FULL_NOISE
INDEPENDENT_NOISE_FREE,0,1850310744,0,217775206,0,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/INDEPENDENT_NOISE_FREE
FULL_NOISE,0,1850310744,0,217775206,0,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/FULL_NOISE
INDEPENDENT_NOISE_FREE,1,1957656152,0,217775206,0,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/INDEPENDENT_NOISE_FREE
FULL_NOISE,1,1957656152,0,217775206,0,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/FULL_NOISE
INDEPENDENT_NOISE_FREE,2,1334931069,0,217775206,0,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g2/INDEPENDENT_NOISE_FREE
FULL_NOISE,2,1334931069,0,217775206,0,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g2/FULL_NOISE
INDEPENDENT_NOISE_FREE,0,1850310744,0,217775206,0,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g0/INDEPENDENT_NOISE_FREE
FULL_NOISE,0,1850310744,0,217775206,0,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g0/FULL_NOISE
INDEPENDENT_NOISE_FREE,1,1957656152,0,217775206,0,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g1/INDEPENDENT_NOISE_FREE
FULL_NOISE,1,1957656152,0,217775206,0,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g1/FULL_NOISE
INDEPENDENT_NOISE_FREE,2,1334931069,0,217775206,0,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g2/INDEPENDENT_NOISE_FREE
FULL_NOISE,2,1334931069,0,217775206,0,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g2/FULL_NOISE
INDEPENDENT_NOISE_FREE,0,1850310744,0,217775206,0,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/INDEPENDENT_NOISE_FREE
FULL_NOISE,0,1850310744,0,217775206,0,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/FULL_NOISE
INDEPENDENT_NOISE_FREE,1,1957656152,0,217775206,0,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/INDEPENDENT_NOISE_FREE
FULL_NOISE,1,1957656152,0,217775206,0,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/FULL_NOISE
INDEPENDENT_NOISE_FREE,2,1334931069,0,217775206,0,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/INDEPENDENT_NOISE_FREE
FULL_NOISE,2,1334931069,0,217775206,0,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/FULL_NOISE
INDEPENDENT_NOISE_FREE,0,1850310744,0,217775206,0,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g0/INDEPENDENT_NOISE_FREE
FULL_NOISE,0,1850310744,0,217775206,0,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g0/FULL_NOISE
INDEPENDENT_NOISE_FREE,1,1957656152,0,217775206,0,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g1/INDEPENDENT_NOISE_FREE
FULL_NOISE,1,1957656152,0,217775206,0,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g1/FULL_NOISE
INDEPENDENT_NOISE_FREE,2,1334931069,0,217775206,0,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g2/INDEPENDENT_NOISE_FREE
FULL_NOISE,2,1334931069,0,217775206,0,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g2/FULL_NOISE
