backend,backend_schema_name,candidate_pair_id,condition,condition_log_ratio_abs,correspondence_count_ratio,counterexample_claim_authorized,error_ratio,error_ratio_stratum,error_tercile_lower_boundary,error_tercile_upper_boundary,initial_rmse_log_ratio_abs,linear_metric_similarity,manual_review_status,original_manual_review_status,review_priority_rank_within_backend,scene_a,scene_b,scene_pair,snapshot_a,snapshot_b,turnover_difference,turnover_difference_stratum,turnover_tercile_lower_boundary,turnover_tercile_upper_boundary
Open3D,open3d_point_to_plane,automatic::ffb92f981c8d7762d1c7291186041aacd0a529d0b7f5e141cc2aaddecf1972fb,FULL_NOISE,0.1182615219092858,0.9985037826902409,False,5.4267349790043635,LOW,21.861404112974284,69.17527876958212,0.0879059611077731,0.9999956670639942,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,1,END_FACE_TRANSITION_WEAK,END_FACE_TRANSITION_WEAK,END_FACE_TRANSITION_WEAK :: END_FACE_TRANSITION_WEAK,full-synthetic-development-v1/END_FACE_TRANSITION_WEAK/g1/m0/r2/FULL_NOISE,full-synthetic-development-v1/END_FACE_TRANSITION_WEAK/g0/m1/r1/FULL_NOISE,0.2280406889396307,LOW,0.6733717371002067,0.986254162724085
Open3D,open3d_point_to_plane,automatic::ff871fffe2e5653d92657a158cf322c023c46ac6380547425d4ed6eaa17944bd,INDEPENDENT_NOISE_FREE,0.17941733176938712,1.000201050488804,False,194.2435232687906,HIGH,21.861404112974284,69.17527876958212,0.11983914837341465,0.9999841137626031,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,2,PARALLEL_WALLS,PARALLEL_WALLS,PARALLEL_WALLS :: PARALLEL_WALLS,full-synthetic-development-v1/PARALLEL_WALLS/g2/m1/r3/INDEPENDENT_NOISE_FREE,phase-b-signal-v1/PARALLEL_WALLS/g0/INDEPENDENT_NOISE_FREE,0.9985406854743375,HIGH,0.6733717371002067,0.986254162724085
Open3D,open3d_point_to_plane,automatic::fbca52be3ddb094f91d23656ab192ed1c38ed255cf6cbe617b0265391630d39e,SCAN_NOISE_ONLY,0.08030238896236655,1.0,False,65.68501053487374,MID,21.861404112974284,69.17527876958212,0.16623358695426488,0.9998787263029465,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,3,END_FACE_TRANSITION_ABSENT,LONG_CORRIDOR,END_FACE_TRANSITION_ABSENT :: LONG_CORRIDOR,full-synthetic-development-v1/END_FACE_TRANSITION_ABSENT/g2/m0/r3/SCAN_NOISE_ONLY,full-synthetic-development-v1/LONG_CORRIDOR/g2/m1/r2/SCAN_NOISE_ONLY,0.8924739412133701,MID,0.6733717371002067,0.986254162724085
Open3D,open3d_point_to_plane,automatic::fd4bd7b27800a4e0cb7855f2de86ceb570d77e8ec34888ca7fcc20f6b1e1acb5,DROPOUT_ONLY,0.0010911363292749666,1.0009934264758724,False,12.298997851057445,LOW,21.861404112974284,69.17527876958212,0.0013364828716359062,0.9999999873687956,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,4,LONG_CORRIDOR,LONG_CORRIDOR,LONG_CORRIDOR :: LONG_CORRIDOR,full-synthetic-development-v1/LONG_CORRIDOR/g1/m0/r2/DROPOUT_ONLY,full-synthetic-development-v1/LONG_CORRIDOR/g1/m0/r0/DROPOUT_ONLY,0.3991211020028733,LOW,0.6733717371002067,0.986254162724085
Open3D,open3d_point_to_plane,automatic::fd0eba92258c9d08da4bdf766e0d8bd5a54b5d45fded3c8269f10bacc38bbf74,MAP_NOISE_ONLY,0.1631616939496306,1.000201050488804,False,85.4054324730001,HIGH,21.861404112974284,69.17527876958212,0.06469349867700908,0.9999942756579376,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,5,PARALLEL_WALLS,PARALLEL_WALLS,PARALLEL_WALLS :: PARALLEL_WALLS,full-synthetic-development-v1/PARALLEL_WALLS/g2/m1/r4/MAP_NOISE_ONLY,full-synthetic-development-v1/PARALLEL_WALLS/g0/m0/r1/MAP_NOISE_ONLY,0.9985909468334047,HIGH,0.6733717371002067,0.986254162724085
Open3D,open3d_point_to_plane,automatic::ff9ab5c438769e16a1dfc072e88b9b933b398325a44cfbc478c3691c71248f34,DROPOUT_ONLY,0.05913495345914468,0.9995351883543555,False,6.698802062860039,LOW,21.861404112974284,69.17527876958212,0.10734341844208804,0.9999897319817576,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,6,END_FACE_TRANSITION_ABSENT,LONG_CORRIDOR,END_FACE_TRANSITION_ABSENT :: LONG_CORRIDOR,full-synthetic-development-v1/END_FACE_TRANSITION_ABSENT/g1/m0/r2/DROPOUT_ONLY,full-synthetic-development-v1/LONG_CORRIDOR/g1/m0/r4/DROPOUT_ONLY,0.610185865532799,LOW,0.6733717371002067,0.986254162724085
PCL,pcl_point_to_plane,automatic::fffc3287eb715f513027701c00816f4f0f860a1752f27cf04ed41fbf9d8fdefa,MAP_NOISE_ONLY,0.16928195693830664,1.000201050488804,False,229.4791719447769,HIGH,16.267926779136754,28.278509328824434,0.0636120361644848,0.9999944258387184,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,1,PARALLEL_WALLS,PARALLEL_WALLS,PARALLEL_WALLS :: PARALLEL_WALLS,full-synthetic-development-v1/PARALLEL_WALLS/g2/m1/r3/MAP_NOISE_ONLY,full-synthetic-development-v1/PARALLEL_WALLS/g0/m1/r1/MAP_NOISE_ONLY,0.9985783481159968,HIGH,0.6006880188323682,0.8313263216375472
PCL,pcl_point_to_plane,automatic::ffd5fb7f331ab5468c8574463e58165230de096ec29517959212b887b705377a,DROPOUT_ONLY,0.06200988604747823,0.99951430683138,False,25.801000003330007,MID,16.267926779136754,28.278509328824434,0.19377949079023726,0.9998017631250381,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,2,END_FACE_TRANSITION_ABSENT,LONG_CORRIDOR,END_FACE_TRANSITION_ABSENT :: LONG_CORRIDOR,full-synthetic-development-v1/END_FACE_TRANSITION_ABSENT/g2/m1/r4/DROPOUT_ONLY,full-synthetic-development-v1/LONG_CORRIDOR/g2/m0/r4/DROPOUT_ONLY,0.6111761757140433,MID,0.6006880188323682,0.8313263216375472
PCL,pcl_point_to_plane,automatic::8c8988a27c57479532230814214f6d500b7fe5b9f27c508dc7c6cc35fd79034d,SCAN_NOISE_ONLY,0.01530457813101878,1.0,False,8.20531082789397,LOW,16.267926779136754,28.278509328824434,0.0004408159941678494,0.9999999990697506,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,3,LONG_CORRIDOR,LONG_CORRIDOR,LONG_CORRIDOR :: LONG_CORRIDOR,full-synthetic-development-v1/LONG_CORRIDOR/g2/m0/r2/SCAN_NOISE_ONLY,full-synthetic-development-v1/LONG_CORRIDOR/g2/m1/r3/SCAN_NOISE_ONLY,0.4602940590509279,LOW,0.6006880188323682,0.8313263216375472
PCL,pcl_point_to_plane,automatic::cc2530d969d2718ed60290dbb8455ffd7747838ef259d84afb47a8a40664008c,FULL_NOISE,0.03314945333014518,0.9991553875715281,False,5.2877923651481415,LOW,16.267926779136754,28.278509328824434,0.19673716856285894,0.9999285397219458,PENDING_HUMAN_REVIEW,AUTOMATIC_CANDIDATE,4,END_FACE_TRANSITION_ABSENT,END_FACE_TRANSITION_ABSENT,END_FACE_TRANSITION_ABSENT :: END_FACE_TRANSITION_ABSENT,full-synthetic-development-v1/END_FACE_TRANSITION_ABSENT/g1/m0/r4/FULL_NOISE,full-synthetic-development-v1/END_FACE_TRANSITION_ABSENT/g0/m0/r2/FULL_NOISE,0.9952634576461339,HIGH,0.6006880188323682,0.8313263216375472
