condition,geometry_seed,measurement_seed,measurement_seed_changes_input,scene_variant,unique_pair_count,wording_minimum_contribution_pass
DROPOUT_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
DROPOUT_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
FULL_NOISE,1334931069,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
FULL_NOISE,1334931069,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
INDEPENDENT_NOISE_FREE,1334931069,217775206,False,END_FACE_TRANSITION_ABSENT,1,False
INDEPENDENT_NOISE_FREE,1334931069,1664898153,False,END_FACE_TRANSITION_ABSENT,1,False
MAP_NOISE_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
MAP_NOISE_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
SCAN_NOISE_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
SCAN_NOISE_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
DROPOUT_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
DROPOUT_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
FULL_NOISE,1850310744,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
FULL_NOISE,1850310744,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
INDEPENDENT_NOISE_FREE,1850310744,217775206,False,END_FACE_TRANSITION_ABSENT,1,False
INDEPENDENT_NOISE_FREE,1850310744,1664898153,False,END_FACE_TRANSITION_ABSENT,1,False
MAP_NOISE_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
MAP_NOISE_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
SCAN_NOISE_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
SCAN_NOISE_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
DROPOUT_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
DROPOUT_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
FULL_NOISE,1957656152,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
FULL_NOISE,1957656152,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
INDEPENDENT_NOISE_FREE,1957656152,217775206,False,END_FACE_TRANSITION_ABSENT,1,False
INDEPENDENT_NOISE_FREE,1957656152,1664898153,False,END_FACE_TRANSITION_ABSENT,1,False
MAP_NOISE_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
MAP_NOISE_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
SCAN_NOISE_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_ABSENT,5,True
SCAN_NOISE_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_ABSENT,5,True
DROPOUT_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
DROPOUT_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
FULL_NOISE,1334931069,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
FULL_NOISE,1334931069,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
INDEPENDENT_NOISE_FREE,1334931069,217775206,False,END_FACE_TRANSITION_PRESENT,1,False
INDEPENDENT_NOISE_FREE,1334931069,1664898153,False,END_FACE_TRANSITION_PRESENT,1,False
MAP_NOISE_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
MAP_NOISE_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
SCAN_NOISE_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
SCAN_NOISE_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
DROPOUT_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
DROPOUT_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
FULL_NOISE,1850310744,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
FULL_NOISE,1850310744,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
INDEPENDENT_NOISE_FREE,1850310744,217775206,False,END_FACE_TRANSITION_PRESENT,1,False
INDEPENDENT_NOISE_FREE,1850310744,1664898153,False,END_FACE_TRANSITION_PRESENT,1,False
MAP_NOISE_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
MAP_NOISE_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
SCAN_NOISE_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
SCAN_NOISE_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
DROPOUT_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
DROPOUT_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
FULL_NOISE,1957656152,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
FULL_NOISE,1957656152,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
INDEPENDENT_NOISE_FREE,1957656152,217775206,False,END_FACE_TRANSITION_PRESENT,1,False
INDEPENDENT_NOISE_FREE,1957656152,1664898153,False,END_FACE_TRANSITION_PRESENT,1,False
MAP_NOISE_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
MAP_NOISE_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
SCAN_NOISE_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_PRESENT,5,True
SCAN_NOISE_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_PRESENT,5,True
DROPOUT_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_WEAK,5,True
DROPOUT_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
FULL_NOISE,1334931069,217775206,True,END_FACE_TRANSITION_WEAK,5,True
FULL_NOISE,1334931069,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
INDEPENDENT_NOISE_FREE,1334931069,217775206,False,END_FACE_TRANSITION_WEAK,1,False
INDEPENDENT_NOISE_FREE,1334931069,1664898153,False,END_FACE_TRANSITION_WEAK,1,False
MAP_NOISE_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_WEAK,5,True
MAP_NOISE_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
SCAN_NOISE_ONLY,1334931069,217775206,True,END_FACE_TRANSITION_WEAK,5,True
SCAN_NOISE_ONLY,1334931069,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
DROPOUT_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_WEAK,5,True
DROPOUT_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
FULL_NOISE,1850310744,217775206,True,END_FACE_TRANSITION_WEAK,5,True
FULL_NOISE,1850310744,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
INDEPENDENT_NOISE_FREE,1850310744,217775206,False,END_FACE_TRANSITION_WEAK,1,False
INDEPENDENT_NOISE_FREE,1850310744,1664898153,False,END_FACE_TRANSITION_WEAK,1,False
MAP_NOISE_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_WEAK,5,True
MAP_NOISE_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
SCAN_NOISE_ONLY,1850310744,217775206,True,END_FACE_TRANSITION_WEAK,5,True
SCAN_NOISE_ONLY,1850310744,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
DROPOUT_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_WEAK,5,True
DROPOUT_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
FULL_NOISE,1957656152,217775206,True,END_FACE_TRANSITION_WEAK,5,True
FULL_NOISE,1957656152,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
INDEPENDENT_NOISE_FREE,1957656152,217775206,False,END_FACE_TRANSITION_WEAK,1,False
INDEPENDENT_NOISE_FREE,1957656152,1664898153,False,END_FACE_TRANSITION_WEAK,1,False
MAP_NOISE_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_WEAK,5,True
MAP_NOISE_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
SCAN_NOISE_ONLY,1957656152,217775206,True,END_FACE_TRANSITION_WEAK,5,True
SCAN_NOISE_ONLY,1957656152,1664898153,True,END_FACE_TRANSITION_WEAK,5,True
DROPOUT_ONLY,1334931069,217775206,True,GEOMETRY_RICH_ROOM,5,True
DROPOUT_ONLY,1334931069,1664898153,True,GEOMETRY_RICH_ROOM,5,True
FULL_NOISE,1334931069,217775206,True,GEOMETRY_RICH_ROOM,5,True
FULL_NOISE,1334931069,1664898153,True,GEOMETRY_RICH_ROOM,5,True
INDEPENDENT_NOISE_FREE,1334931069,217775206,False,GEOMETRY_RICH_ROOM,1,False
INDEPENDENT_NOISE_FREE,1334931069,1664898153,False,GEOMETRY_RICH_ROOM,1,False
MAP_NOISE_ONLY,1334931069,217775206,True,GEOMETRY_RICH_ROOM,5,True
MAP_NOISE_ONLY,1334931069,1664898153,True,GEOMETRY_RICH_ROOM,5,True
SCAN_NOISE_ONLY,1334931069,217775206,True,GEOMETRY_RICH_ROOM,5,True
SCAN_NOISE_ONLY,1334931069,1664898153,True,GEOMETRY_RICH_ROOM,5,True
DROPOUT_ONLY,1850310744,217775206,True,GEOMETRY_RICH_ROOM,5,True
DROPOUT_ONLY,1850310744,1664898153,True,GEOMETRY_RICH_ROOM,5,True
FULL_NOISE,1850310744,217775206,True,GEOMETRY_RICH_ROOM,5,True
FULL_NOISE,1850310744,1664898153,True,GEOMETRY_RICH_ROOM,5,True
INDEPENDENT_NOISE_FREE,1850310744,217775206,False,GEOMETRY_RICH_ROOM,1,False
INDEPENDENT_NOISE_FREE,1850310744,1664898153,False,GEOMETRY_RICH_ROOM,1,False
MAP_NOISE_ONLY,1850310744,217775206,True,GEOMETRY_RICH_ROOM,5,True
MAP_NOISE_ONLY,1850310744,1664898153,True,GEOMETRY_RICH_ROOM,5,True
SCAN_NOISE_ONLY,1850310744,217775206,True,GEOMETRY_RICH_ROOM,5,True
SCAN_NOISE_ONLY,1850310744,1664898153,True,GEOMETRY_RICH_ROOM,5,True
DROPOUT_ONLY,1957656152,217775206,True,GEOMETRY_RICH_ROOM,5,True
DROPOUT_ONLY,1957656152,1664898153,True,GEOMETRY_RICH_ROOM,5,True
FULL_NOISE,1957656152,217775206,True,GEOMETRY_RICH_ROOM,5,True
FULL_NOISE,1957656152,1664898153,True,GEOMETRY_RICH_ROOM,5,True
INDEPENDENT_NOISE_FREE,1957656152,217775206,False,GEOMETRY_RICH_ROOM,1,False
INDEPENDENT_NOISE_FREE,1957656152,1664898153,False,GEOMETRY_RICH_ROOM,1,False
MAP_NOISE_ONLY,1957656152,217775206,True,GEOMETRY_RICH_ROOM,5,True
MAP_NOISE_ONLY,1957656152,1664898153,True,GEOMETRY_RICH_ROOM,5,True
SCAN_NOISE_ONLY,1957656152,217775206,True,GEOMETRY_RICH_ROOM,5,True
SCAN_NOISE_ONLY,1957656152,1664898153,True,GEOMETRY_RICH_ROOM,5,True
DROPOUT_ONLY,1334931069,217775206,True,LONG_CORRIDOR,5,True
DROPOUT_ONLY,1334931069,1664898153,True,LONG_CORRIDOR,5,True
FULL_NOISE,1334931069,217775206,True,LONG_CORRIDOR,5,True
FULL_NOISE,1334931069,1664898153,True,LONG_CORRIDOR,5,True
INDEPENDENT_NOISE_FREE,1334931069,217775206,False,LONG_CORRIDOR,1,False
INDEPENDENT_NOISE_FREE,1334931069,1664898153,False,LONG_CORRIDOR,1,False
MAP_NOISE_ONLY,1334931069,217775206,True,LONG_CORRIDOR,5,True
MAP_NOISE_ONLY,1334931069,1664898153,True,LONG_CORRIDOR,5,True
SCAN_NOISE_ONLY,1334931069,217775206,True,LONG_CORRIDOR,5,True
SCAN_NOISE_ONLY,1334931069,1664898153,True,LONG_CORRIDOR,5,True
DROPOUT_ONLY,1850310744,217775206,True,LONG_CORRIDOR,5,True
DROPOUT_ONLY,1850310744,1664898153,True,LONG_CORRIDOR,5,True
FULL_NOISE,1850310744,217775206,True,LONG_CORRIDOR,5,True
