condition,geometry_seed,repeat_index,repeat_index_changes_input,scene_variant,unique_pair_count
DROPOUT_ONLY,1334931069,0,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1334931069,1,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1334931069,2,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1334931069,3,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1334931069,4,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1334931069,0,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1334931069,1,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1334931069,2,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1334931069,3,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1334931069,4,True,END_FACE_TRANSITION_ABSENT,2
INDEPENDENT_NOISE_FREE,1334931069,0,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1334931069,1,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1334931069,2,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1334931069,3,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1334931069,4,False,END_FACE_TRANSITION_ABSENT,1
MAP_NOISE_ONLY,1334931069,0,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1334931069,1,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1334931069,2,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1334931069,3,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1334931069,4,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1334931069,0,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1334931069,1,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1334931069,2,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1334931069,3,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1334931069,4,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1850310744,0,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1850310744,1,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1850310744,2,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1850310744,3,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1850310744,4,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1850310744,0,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1850310744,1,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1850310744,2,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1850310744,3,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1850310744,4,True,END_FACE_TRANSITION_ABSENT,2
INDEPENDENT_NOISE_FREE,1850310744,0,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1850310744,1,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1850310744,2,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1850310744,3,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1850310744,4,False,END_FACE_TRANSITION_ABSENT,1
MAP_NOISE_ONLY,1850310744,0,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1850310744,1,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1850310744,2,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1850310744,3,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1850310744,4,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1850310744,0,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1850310744,1,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1850310744,2,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1850310744,3,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1850310744,4,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1957656152,0,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1957656152,1,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1957656152,2,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1957656152,3,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1957656152,4,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1957656152,0,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1957656152,1,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1957656152,2,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1957656152,3,True,END_FACE_TRANSITION_ABSENT,2
FULL_NOISE,1957656152,4,True,END_FACE_TRANSITION_ABSENT,2
INDEPENDENT_NOISE_FREE,1957656152,0,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1957656152,1,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1957656152,2,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1957656152,3,False,END_FACE_TRANSITION_ABSENT,1
INDEPENDENT_NOISE_FREE,1957656152,4,False,END_FACE_TRANSITION_ABSENT,1
MAP_NOISE_ONLY,1957656152,0,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1957656152,1,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1957656152,2,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1957656152,3,True,END_FACE_TRANSITION_ABSENT,2
MAP_NOISE_ONLY,1957656152,4,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1957656152,0,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1957656152,1,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1957656152,2,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1957656152,3,True,END_FACE_TRANSITION_ABSENT,2
SCAN_NOISE_ONLY,1957656152,4,True,END_FACE_TRANSITION_ABSENT,2
DROPOUT_ONLY,1334931069,0,True,END_FACE_TRANSITION_PRESENT,2
DROPOUT_ONLY,1334931069,1,True,END_FACE_TRANSITION_PRESENT,2
DROPOUT_ONLY,1334931069,2,True,END_FACE_TRANSITION_PRESENT,2
DROPOUT_ONLY,1334931069,3,True,END_FACE_TRANSITION_PRESENT,2
DROPOUT_ONLY,1334931069,4,True,END_FACE_TRANSITION_PRESENT,2
FULL_NOISE,1334931069,0,True,END_FACE_TRANSITION_PRESENT,2
FULL_NOISE,1334931069,1,True,END_FACE_TRANSITION_PRESENT,2
FULL_NOISE,1334931069,2,True,END_FACE_TRANSITION_PRESENT,2
FULL_NOISE,1334931069,3,True,END_FACE_TRANSITION_PRESENT,2
FULL_NOISE,1334931069,4,True,END_FACE_TRANSITION_PRESENT,2
INDEPENDENT_NOISE_FREE,1334931069,0,False,END_FACE_TRANSITION_PRESENT,1
INDEPENDENT_NOISE_FREE,1334931069,1,False,END_FACE_TRANSITION_PRESENT,1
INDEPENDENT_NOISE_FREE,1334931069,2,False,END_FACE_TRANSITION_PRESENT,1
INDEPENDENT_NOISE_FREE,1334931069,3,False,END_FACE_TRANSITION_PRESENT,1
INDEPENDENT_NOISE_FREE,1334931069,4,False,END_FACE_TRANSITION_PRESENT,1
MAP_NOISE_ONLY,1334931069,0,True,END_FACE_TRANSITION_PRESENT,2
