actual_observation_count,authorized_term,condition,dropout_mask_reconstruction_failure_count,dropout_mask_reconstruction_pass_count,dropout_mask_reconstruction_unknown_count,dropout_signature_basis,duplicate_pair_count,duplicate_source_count,duplicate_target_count,effective_replicate_count,geometry_seed,measurement_seed_changes_input,noise_signature_basis,planned_observation_count,repeat_index_changes_input,replicate_class,scene_variant,signature_limitation,snapshot_design_complete,systematic_offset_claim_authorized,unique_dropout_checksum_count,unique_noise_checksum_count,unique_pair_count_by_measurement_seed,unique_pair_count_by_repeat,unique_source_checksum_count,unique_source_target_pair_count,unique_target_checksum_count
10,REPEATABLE_SYSTEMATIC_OFFSET,DROPOUT_ONLY,0,10,0,"[""EXACT_ORDERED_SUBSEQUENCE_MASK_FROM_FROZEN_ARRAYS""]",0,0,9,10,1334931069,True,"[""EXACT_ZERO_PRE_DROPOUT_NOISE_FROM_FROZEN_CONDITION""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,,True,True,10,1,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,1
10,REPEATABLE_SYSTEMATIC_OFFSET,FULL_NOISE,0,10,0,"[""UNIQUE_STRICTLY_ORDERED_NEAREST_BASELINE_INDEX_MASK_FROM_FROZEN_ARRAYS""]",0,0,0,10,1334931069,True,"[""OBSERVED_FLOAT32_DELTA_TO_MATCHED_INDEPENDENT_BASELINE""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,"[""FULL_NOISE scan coordinates include noise; mask is an observed-array nearest-index reconstruction, not the unpersisted generator mask checksum"",""hash covers persisted float32 observable deltas; it is not the unpersisted pre-cast generator noise checksum; scan delta is available only at points retained by the reconstructed dropout mask""]",True,True,10,10,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,10
10,DETERMINISTIC_ZERO_INITIALIZATION_DISPLACEMENT,INDEPENDENT_NOISE_FREE,0,10,0,"[""EXACT_ALL_TRUE_MASK_FROM_EQUAL_SHAPE_FROZEN_ARRAYS""]",9,9,9,1,1334931069,False,"[""EXACT_ZERO_PRE_DROPOUT_NOISE_FROM_FROZEN_CONDITION""]",10,False,DETERMINISTIC_SINGLE_INPUT,END_FACE_TRANSITION_ABSENT,,True,False,1,1,"{""217775206"":1,""1664898153"":1}","{""0"":1,""1"":1,""2"":1,""3"":1,""4"":1}",1,1,1
10,REPEATABLE_SYSTEMATIC_OFFSET,MAP_NOISE_ONLY,0,10,0,"[""EXACT_ALL_TRUE_MASK_FROM_EQUAL_SHAPE_FROZEN_ARRAYS""]",0,9,0,10,1334931069,True,"[""OBSERVED_FLOAT32_DELTA_TO_MATCHED_INDEPENDENT_BASELINE""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,"[""hash covers persisted float32 observable deltas; it is not the unpersisted pre-cast generator noise checksum""]",True,True,1,10,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",1,10,10
10,REPEATABLE_SYSTEMATIC_OFFSET,SCAN_NOISE_ONLY,0,10,0,"[""EXACT_ALL_TRUE_MASK_FROM_EQUAL_SHAPE_FROZEN_ARRAYS""]",0,0,9,10,1334931069,True,"[""OBSERVED_FLOAT32_DELTA_TO_MATCHED_INDEPENDENT_BASELINE""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,"[""hash covers persisted float32 observable deltas; it is not the unpersisted pre-cast generator noise checksum""]",True,True,1,10,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,1
10,REPEATABLE_SYSTEMATIC_OFFSET,DROPOUT_ONLY,0,10,0,"[""EXACT_ORDERED_SUBSEQUENCE_MASK_FROM_FROZEN_ARRAYS""]",0,0,9,10,1850310744,True,"[""EXACT_ZERO_PRE_DROPOUT_NOISE_FROM_FROZEN_CONDITION""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,,True,True,10,1,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,1
10,REPEATABLE_SYSTEMATIC_OFFSET,FULL_NOISE,0,10,0,"[""UNIQUE_STRICTLY_ORDERED_NEAREST_BASELINE_INDEX_MASK_FROM_FROZEN_ARRAYS""]",0,0,0,10,1850310744,True,"[""OBSERVED_FLOAT32_DELTA_TO_MATCHED_INDEPENDENT_BASELINE""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,"[""FULL_NOISE scan coordinates include noise; mask is an observed-array nearest-index reconstruction, not the unpersisted generator mask checksum"",""hash covers persisted float32 observable deltas; it is not the unpersisted pre-cast generator noise checksum; scan delta is available only at points retained by the reconstructed dropout mask""]",True,True,10,10,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,10
10,DETERMINISTIC_ZERO_INITIALIZATION_DISPLACEMENT,INDEPENDENT_NOISE_FREE,0,10,0,"[""EXACT_ALL_TRUE_MASK_FROM_EQUAL_SHAPE_FROZEN_ARRAYS""]",9,9,9,1,1850310744,False,"[""EXACT_ZERO_PRE_DROPOUT_NOISE_FROM_FROZEN_CONDITION""]",10,False,DETERMINISTIC_SINGLE_INPUT,END_FACE_TRANSITION_ABSENT,,True,False,1,1,"{""217775206"":1,""1664898153"":1}","{""0"":1,""1"":1,""2"":1,""3"":1,""4"":1}",1,1,1
10,REPEATABLE_SYSTEMATIC_OFFSET,MAP_NOISE_ONLY,0,10,0,"[""EXACT_ALL_TRUE_MASK_FROM_EQUAL_SHAPE_FROZEN_ARRAYS""]",0,9,0,10,1850310744,True,"[""OBSERVED_FLOAT32_DELTA_TO_MATCHED_INDEPENDENT_BASELINE""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,"[""hash covers persisted float32 observable deltas; it is not the unpersisted pre-cast generator noise checksum""]",True,True,1,10,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",1,10,10
10,REPEATABLE_SYSTEMATIC_OFFSET,SCAN_NOISE_ONLY,0,10,0,"[""EXACT_ALL_TRUE_MASK_FROM_EQUAL_SHAPE_FROZEN_ARRAYS""]",0,0,9,10,1850310744,True,"[""OBSERVED_FLOAT32_DELTA_TO_MATCHED_INDEPENDENT_BASELINE""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,"[""hash covers persisted float32 observable deltas; it is not the unpersisted pre-cast generator noise checksum""]",True,True,1,10,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,1
10,REPEATABLE_SYSTEMATIC_OFFSET,DROPOUT_ONLY,0,10,0,"[""EXACT_ORDERED_SUBSEQUENCE_MASK_FROM_FROZEN_ARRAYS""]",0,0,9,10,1957656152,True,"[""EXACT_ZERO_PRE_DROPOUT_NOISE_FROM_FROZEN_CONDITION""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,,True,True,10,1,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,1
10,REPEATABLE_SYSTEMATIC_OFFSET,FULL_NOISE,0,10,0,"[""UNIQUE_STRICTLY_ORDERED_NEAREST_BASELINE_INDEX_MASK_FROM_FROZEN_ARRAYS""]",0,0,0,10,1957656152,True,"[""OBSERVED_FLOAT32_DELTA_TO_MATCHED_INDEPENDENT_BASELINE""]",10,True,FULL_REPLICATION,END_FACE_TRANSITION_ABSENT,"[""FULL_NOISE scan coordinates include noise; mask is an observed-array nearest-index reconstruction, not the unpersisted generator mask checksum"",""hash covers persisted float32 observable deltas; it is not the unpersisted pre-cast generator noise checksum; scan delta is available only at points retained by the reconstructed dropout mask""]",True,True,10,10,"{""217775206"":5,""1664898153"":5}","{""0"":2,""1"":2,""2"":2,""3"":2,""4"":2}",10,10,10
