backend,centered_spearman_rho,leave_one_condition_out_positive_count,leave_one_scene_out_positive_count,omitted_level,pooled_spearman_rho,reassociation_robustness_backend_pass,robustness_type,spearman_rho,unique_input_spearman_rho,unique_input_trial_count,valid_trial_count
Open3D,,,,GEOMETRY_RICH_ROOM,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.745534488936906,,,
Open3D,,,,LONG_CORRIDOR,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.6451079976263341,,,
Open3D,,,,PARALLEL_WALLS,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7062949914504562,,,
Open3D,,,,END_FACE_TRANSITION_PRESENT,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7563655531774286,,,
Open3D,,,,END_FACE_TRANSITION_WEAK,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7741869992358967,,,
Open3D,,,,END_FACE_TRANSITION_ABSENT,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.6778892739631904,,,
Open3D,,,,REPEATED_STRUCTURE,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.758369952871039,,,
Open3D,,,,INDEPENDENT_NOISE_FREE,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7066744669668855,,,
Open3D,,,,SCAN_NOISE_ONLY,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7016520722326328,,,
Open3D,,,,MAP_NOISE_ONLY,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7600120818309505,,,
Open3D,,,,DROPOUT_ONLY,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7142972724451525,,,
Open3D,,,,FULL_NOISE,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7446366962486068,,,
PCL,,,,GEOMETRY_RICH_ROOM,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7591028698966008,,,
PCL,,,,LONG_CORRIDOR,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.6661908964171436,,,
PCL,,,,PARALLEL_WALLS,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7276604199621483,,,
PCL,,,,END_FACE_TRANSITION_PRESENT,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7659046065375619,,,
PCL,,,,END_FACE_TRANSITION_WEAK,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7767242714301538,,,
PCL,,,,END_FACE_TRANSITION_ABSENT,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.6870175190495595,,,
PCL,,,,REPEATED_STRUCTURE,,,LEAVE_ONE_SCENE_OUT_CENTERED,0.7786995199936918,,,
PCL,,,,INDEPENDENT_NOISE_FREE,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7365695652292441,,,
PCL,,,,SCAN_NOISE_ONLY,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7109710609220021,,,
PCL,,,,MAP_NOISE_ONLY,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7742165308512685,,,
PCL,,,,DROPOUT_ONLY,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7394587512961039,,,
PCL,,,,FULL_NOISE,,,LEAVE_ONE_CONDITION_OUT_CENTERED,0.7436469110467645,,,
Open3D,0.7249110498049963,5,7,NONE,0.8162478742012874,True,SUMMARY,,0.8188573550672928,861,1050
PCL,0.7399111622845532,5,7,NONE,0.7887850028463183,True,SUMMARY,,0.7931647036092604,861,1050
