json_path,source_type,target_type,source_summary,target_value,conversion_rule
$.states.absent.state,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.ABSENT,FORMAL_RUNTIME_ABSENT,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.states.bootstrap_only.state,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.BOOTSTRAP_ONLY,FORMAL_RUNTIME_BOOTSTRAP_ONLY,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.states.resumable.state,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.RESUMABLE,FORMAL_RUNTIME_RESUMABLE,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.BOOTSTRAP_ONLY,FORMAL_RUNTIME_BOOTSTRAP_ONLY,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.ABSENT,FORMAL_RUNTIME_ABSENT,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap_resume.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.RESUMABLE,FORMAL_RUNTIME_RESUMABLE,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap_resume.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.RESUMABLE,FORMAL_RUNTIME_RESUMABLE,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_transition.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.RESUMABLE,FORMAL_RUNTIME_RESUMABLE,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_transition.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.BOOTSTRAP_ONLY,FORMAL_RUNTIME_BOOTSTRAP_ONLY,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_resume.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.RESUMABLE,FORMAL_RUNTIME_RESUMABLE,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_resume.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,builtins.str,FormalRuntimeState.RESUMABLE,FORMAL_RUNTIME_RESUMABLE,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
