json_path,python_type,module,class_name,representative_value,conversion_required,proposed_conversion,scientific_field,notes
$.states.absent.state,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.ABSENT,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.states.bootstrap_only.state,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.BOOTSTRAP_ONLY,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.states.resumable.state,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.RESUMABLE,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.BOOTSTRAP_ONLY,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.ABSENT,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap_resume.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.RESUMABLE,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.bootstrap_resume.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.RESUMABLE,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_transition.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.RESUMABLE,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_transition.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.BOOTSTRAP_ONLY,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_resume.state_after,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.RESUMABLE,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
$.lock_resume.state_before,phase_a_harness.formal_runtime_state_machine.FormalRuntimeState,phase_a_harness.formal_runtime_state_machine,FormalRuntimeState,FormalRuntimeState.RESUMABLE,True,value.value,False,EXACT_FORMAL_RUNTIME_STATE_TO_FROZEN_VALUE_V1
