relative_path,size_bytes,sha256
backend_binding.json,1166,107ccf961083224f262f7018a430b1cfbbaaae3e95fc006fa670868bfca990e2
final_binding_audit.json,493,ff04940dbf36076b5912d0ab8abd591710add5b28b08593ca0ae3d3e334df0e8
final_decision.json,523,5c554255e06d44748ed4cdb0dc46b9ffe44c10c89ac303a682fd1f72875e00e6
fixture_artifact_verification.json,971,698b59aa2fd0ea25647c2b8baa4ad5e3797096978a3eb48f9de00f304ec17fef
fixture_execution_report.json,728,705620b659d69ade45179836cd5452873682a519642370cc6d2a323664a5c584
fixture_resume_report.json,370,0e208585ee9b893ac257a4bdf3cdb770c4dafe9fe8b47ef0afc4b848f6162018
formal_execution_profile.json,3336,041bd6c0e0fe63cc8e28b501228429a9e483e24962dfdb6ac47827e173ed6911
formal_run_commands.sh,2916,5daab77fbd436c3eb0549e6a292025af8a08cb314eb952691698b0cf9de3f935
frozen_model_binding.json,248,f0597bd3666dc5de549a57df1d827a76f563f10b5150d52f515d5cfbc3f14ae8
implementation_manifest.json,3629,93c67e408ab3f357d64e41afdebf7d57b9a498c383b779e106e5cd23e3054ed7
pre_run_report.md,558,c297e042de7b60127744e5fd488ff865936c8a2d7a7cc9014dc76913e0ea9ac3
primary_independent_difference.json,197,ed946e26778e0729e7b373ec23b459f86ed683be951d77624ed4e0640db45c48
publisher_inventory.json,280,9d6e83791cf16bf8a1d463a8bda42d2d6076537e90fb4b5277d75f61a68f1e01
retired_seed_sets.json,1828,347310c020dbc092fd75e7dcf523a9aa14648818e323041c3712beb8e928bcfe
run_manifest.json,1209,81aa2aaf266b1e21d41e459b94c9ebe4efdc98128110ad3acc80b14d76adc014
runtime_lifecycle_core_binding.json,3940,9fbf33232677a97df6cf2bbb637b633191777471cfd617f4f7998295a489f200
runtime_lifecycle_qualification_binding.json,956,d0c712e01b08d7c4ced773782816330cc0e984662b2a2aa325372c7d64bafcaf
runtime_path_contract.json,1142,c075eb410905dd441ce2c916322b261487ff939363294f75d51d4d3a29cedbaf
scientific_core_binding.json,12102,50c1f2c0c875c76b9449f3ef9b09880841fad1f5f61bcee1556c7a39b6671979
test_report.json,1882,2d467084612b694e6f512f7ebbadbf4169dc776b1fc453b1926b9e73265651cf
v1_failure_binding.json,970,ec361a9bebcb41128480374eaad403871554506e7a469160968e79846f10735e
v2_failure_binding.json,892,bc1d899b896ab7369e8cda54425a46b683127aad8268a9557dd52a5919ca0a75
v2_to_v3_scientific_diff.json,1795,5aec625d0acdaf2f6a9cec57a7bb6fa88d7c0945e543e22b9c206c8edff863cc
v3_design_audit.json,1569,dfabfeb7e7f939a81b83b0fb1bbab278f00a29bd5ef9941acab80ed5d9b077f9
v3_dry_run_report.json,936,cb2fcb858085f8c58d70630306e490ee7610ba71b4bc62e8a6841862777cfbba
v3_plan_audit.json,635,ef1ea6e2005d70719826d651c0e3ea51b51a19ef453a91b8d65be269f4879218
v3_seed_provenance_audit.json,8349,f66c33a440429a512ad21878a3419f7a9b5c0e996f03503e4cd4aa142bff6318
v3_seed_schedule.json,5939,8d58c132fe6fb1c370d21a81f2b26a429712ca12f120e3bb7878a20572e0d17f
